Punto,Time_F,ForceX,ForceY,ForceZ,ForceTotal,Time_D,DispX,DispY,DispZ,DispTotal
0,0.02,-2182.45673116,0.0,0.0,2182.45673116,0.02,-0.00999999977648,0.0,0.0,0.0
1,0.04,-4312.70382596,0.0,0.0,4312.70382596,0.04,-0.019999999553,0.0,0.0,0.0
2,0.07,-5277.51322435,0.0,0.0,5277.51322435,0.07,-0.035000000149,0.0,0.0,0.0
3,0.1,-5428.85756748,0.0,0.0,5428.85756748,0.1,-0.0500000007451,0.0,0.0,0.0
4,0.13,-5531.42570552,0.0,0.0,5531.42570552,0.13,-0.0649999976158,0.0,0.0,0.0
5,0.16,-5617.39010611,0.0,0.0,5617.39010611,0.16,-0.0799999982119,0.0,0.0,0.0
6,0.19,-5693.67959040,0.0,0.0,5693.67959040,0.19,-0.0949999988079,0.0,0.0,0.0
7,0.22,-5764.17760709,0.0,0.0,5764.17760709,0.22,-0.109999999404,0.0,0.0,0.0
8,0.25,-5830.77541473,0.0,0.0,5830.77541473,0.25,-0.125,0.0,0.0,0.0
9,0.28,-5894.50598661,0.0,0.0,5894.50598661,0.28,-0.140000000596,0.0,0.0,0.0
10,0.31,-5956.09718259,0.0,0.0,5956.09718259,0.31,-0.155000001192,0.0,0.0,0.0
11,0.34,-6015.93922178,0.0,0.0,6015.93922178,0.34,-0.170000001788,0.0,0.0,0.0
12,0.37,-6073.87476321,0.0,0.0,6073.87476321,0.37,-0.185000002384,0.0,0.0,0.0
13,0.4,-6129.35923078,0.0,0.0,6129.35923078,0.4,-0.20000000298,0.0,0.0,0.0
14,0.43,-6181.30286317,0.0,0.0,6181.30286317,0.43,-0.215000003576,0.0,0.0,0.0
15,0.46,-6228.09880678,0.0,0.0,6228.09880678,0.46,-0.230000004172,0.0,0.0,0.0
16,0.49,-6269.26257812,0.0,0.0,6269.26257812,0.49,-0.245000004768,0.0,0.0,0.0
17,0.52,-6306.44381127,0.0,0.0,6306.44381127,0.52,-0.259999990463,0.0,0.0,0.0
18,0.55,-6341.93144321,0.0,0.0,6341.93144321,0.55,-0.27500000596,0.0,0.0,0.0
19,0.58,-6377.31272618,0.0,0.0,6377.31272618,0.58,-0.289999991655,0.0,0.0,0.0
20,0.61,-6413.22741051,0.0,0.0,6413.22741051,0.61,-0.305000007153,0.0,0.0,0.0
21,0.64,-6449.77919640,0.0,0.0,6449.77919640,0.64,-0.319999992847,0.0,0.0,0.0
22,0.67,-6486.78567259,0.0,0.0,6486.78567259,0.67,-0.335000008345,0.0,0.0,0.0
23,0.7,-6523.96527264,0.0,0.0,6523.96527264,0.7,-0.34999999404,0.0,0.0,0.0
24,0.7225,-6552.61301959,0.0,0.0,6552.61301959,0.7225,-0.361250013113,0.0,0.0,0.0
25,0.745,-6581.17479972,0.0,0.0,6581.17479972,0.745,-0.372500002384,0.0,0.0,0.0
26,0.77875,-6621.99312409,0.0,0.0,6621.99312409,0.77875,-0.389375001192,0.0,0.0,0.0
27,0.8040625,-6653.43374816,0.0,0.0,6653.43374816,0.8040625,-0.402031242847,0.0,0.0,0.0
28,0.829375,-6684.68680197,0.0,0.0,6684.68680197,0.829375,-0.414687514305,0.0,0.0,0.0
29,0.86734375,-6728.88340611,0.0,0.0,6728.88340611,0.86734375,-0.433671861887,0.0,0.0,0.0
30,0.8958203125,-6763.38328832,0.0,0.0,6763.38328832,0.8958203125,-0.447910159826,0.0,0.0,0.0
31,0.924296875,-6798.20036740,0.0,0.0,6798.20036740,0.924296875,-0.462148427963,0.0,0.0,0.0
32,0.9527734375,-6833.91653403,0.0,0.0,6833.91653403,0.9527734375,-0.476386725903,0.0,0.0,0.0
33,0.97638671875,-6865.28035053,0.0,0.0,6865.28035053,0.97638671875,-0.488193362951,0.0,0.0,0.0
34,1.0,-6898.02648788,0.0,0.0,6898.02648788,1.0,-0.5,0.0,0.0,0.0
