Punto,Time_F,ForceX,ForceY,ForceZ,ForceTotal,Time_D,DispX,DispY,DispZ,DispTotal
0,0.02,-1033.52138298,0.0,0.0,1033.52138298,0.02,-0.00999999977648,0.0,0.0,0.0
1,0.04,-2058.88225657,0.0,0.0,2058.88225657,0.04,-0.019999999553,0.0,0.0,0.0
2,0.07,-3057.59390029,0.0,0.0,3057.59390029,0.07,-0.035000000149,0.0,0.0,0.0
3,0.1,-3005.05390222,0.0,0.0,3005.05390222,0.1,-0.0500000007451,0.0,0.0,0.0
4,0.1225,-2926.67232093,0.0,0.0,2926.67232093,0.1225,-0.0612500011921,0.0,0.0,0.0
5,0.145,-2875.78670216,0.0,0.0,2875.78670216,0.145,-0.0724999979138,0.0,0.0,0.0
6,0.17875,-2817.48672060,0.0,0.0,2817.48672060,0.17875,-0.0893749967217,0.0,0.0,0.0
7,0.2125,-2770.50577870,0.0,0.0,2770.50577870,0.2125,-0.10625000298,0.0,0.0,0.0
8,0.2625,-2701.55440814,0.0,0.0,2701.55440814,0.2625,-0.13124999404,0.0,0.0,0.0
9,0.3,-2660.01129399,0.0,0.0,2660.01129399,0.3,-0.15000000596,0.0,0.0,0.0
10,0.3375,-2623.95812095,0.0,0.0,2623.95812095,0.3375,-0.16875000298,0.0,0.0,0.0
11,0.3875,-2580.58951960,0.0,0.0,2580.58951960,0.3875,-0.19374999404,0.0,0.0,0.0
12,0.425,-2553.55288242,0.0,0.0,2553.55288242,0.425,-0.21250000596,0.0,0.0,0.0
13,0.4625,-2528.71546608,0.0,0.0,2528.71546608,0.4625,-0.23125000298,0.0,0.0,0.0
14,0.5125,-2496.42908422,0.0,0.0,2496.42908422,0.5125,-0.25624999404,0.0,0.0,0.0
15,0.55,-2474.58959152,0.0,0.0,2474.58959152,0.55,-0.27500000596,0.0,0.0,0.0
16,0.5875,-2453.19529893,0.0,0.0,2453.19529893,0.5875,-0.293749988079,0.0,0.0,0.0
17,0.6375,-2424.51829920,0.0,0.0,2424.51829920,0.6375,-0.31874999404,0.0,0.0,0.0
18,0.675,-2405.40669605,0.0,0.0,2405.40669605,0.675,-0.33750000596,0.0,0.0,0.0
19,0.7125,-2387.70412466,0.0,0.0,2387.70412466,0.7125,-0.356249988079,0.0,0.0,0.0
20,0.7625,-2365.96385061,0.0,0.0,2365.96385061,0.7625,-0.38124999404,0.0,0.0,0.0
21,0.8,-2353.22406858,0.0,0.0,2353.22406858,0.8,-0.40000000596,0.0,0.0,0.0
22,0.8375,-2342.92941482,0.0,0.0,2342.92941482,0.8375,-0.418749988079,0.0,0.0,0.0
23,0.875,-2335.33891686,0.0,0.0,2335.33891686,0.875,-0.4375,0.0,0.0,0.0
24,0.903125,-2331.94698455,0.0,0.0,2331.94698455,0.903125,-0.45156249404,0.0,0.0,0.0
25,0.93125,-2330.22163331,0.0,0.0,2330.22163331,0.93125,-0.465624988079,0.0,0.0,0.0
26,0.959375,-2330.29397057,0.0,0.0,2330.29397057,0.959375,-0.479687511921,0.0,0.0,0.0
27,1.0,-2333.10667778,0.0,0.0,2333.10667778,1.0,-0.5,0.0,0.0,0.0
