Punto,Time_F,ForceX,ForceY,ForceZ,ForceTotal,Time_D,DispX,DispY,DispZ,DispTotal
0,0.02,-1954.73198098,0.0,0.0,1954.73198098,0.02,-0.00999999977648,0.0,0.0,0.0
1,0.04,-2883.09484570,0.0,0.0,2883.09484570,0.04,-0.019999999553,0.0,0.0,0.0
2,0.06,-2838.90363676,0.0,0.0,2838.90363676,0.06,-0.0299999993294,0.0,0.0,0.0
3,0.064,-2826.00597163,0.0,0.0,2826.00597163,0.064,-0.0320000015199,0.0,0.0,0.0
4,0.068,-2813.31116453,0.0,0.0,2813.31116453,0.068,-0.0340000018477,0.0,0.0,0.0
5,0.074,-2795.12730941,0.0,0.0,2795.12730941,0.074,-0.0370000004768,0.0,0.0,0.0
6,0.083,-2770.59980132,0.0,0.0,2770.59980132,0.083,-0.0414999984205,0.0,0.0,0.0
7,0.0965,-2737.09151382,0.0,0.0,2737.09151382,0.0965,-0.0482500009239,0.0,0.0,0.0
8,0.11675,-2685.47091373,0.0,0.0,2685.47091373,0.11675,-0.0583750009537,0.0,0.0,0.0
9,0.1319375,-2650.32365651,0.0,0.0,2650.32365651,0.1319375,-0.0659687519073,0.0,0.0,0.0
10,0.147125,-2617.70006247,0.0,0.0,2617.70006247,0.147125,-0.073562502861,0.0,0.0,0.0
11,0.16990625,-2572.77111018,0.0,0.0,2572.77111018,0.16990625,-0.084953121841,0.0,0.0,0.0
12,0.1869921875,-2545.93092157,0.0,0.0,2545.93092157,0.1869921875,-0.0934960916638,0.0,0.0,0.0
13,0.204078125,-2522.47186626,0.0,0.0,2522.47186626,0.204078125,-0.102039061487,0.0,0.0,0.0
14,0.22970703125,-2490.09082533,0.0,0.0,2490.09082533,0.22970703125,-0.114853516221,0.0,0.0,0.0
15,0.248928710938,-2469.29883529,0.0,0.0,2469.29883529,0.248928710938,-0.124464355409,0.0,0.0,0.0
16,0.268150390625,-2449.74425079,0.0,0.0,2449.74425079,0.268150390625,-0.134075194597,0.0,0.0,0.0
17,0.287372070313,-2431.04517928,0.0,0.0,2431.04517928,0.287372070313,-0.143686041236,0.0,0.0,0.0
18,0.30659375,-2412.95118170,0.0,0.0,2412.95118170,0.30659375,-0.153296872973,0.0,0.0,0.0
19,0.325815429688,-2395.21056323,0.0,0.0,2395.21056323,0.325815429688,-0.162907719612,0.0,0.0,0.0
20,0.354647949219,-2368.09362264,0.0,0.0,2368.09362264,0.354647949219,-0.177323967218,0.0,0.0,0.0
21,0.38348046875,-2341.63302904,0.0,0.0,2341.63302904,0.38348046875,-0.191740229726,0.0,0.0,0.0
22,0.405104858398,-2322.57150208,0.0,0.0,2322.57150208,0.405104858398,-0.202552422881,0.0,0.0,0.0
23,0.426729248047,-2303.53303731,0.0,0.0,2303.53303731,0.426729248047,-0.213364630938,0.0,0.0,0.0
24,0.45916583252,-2273.96726488,0.0,0.0,2273.96726488,0.45916583252,-0.229582920671,0.0,0.0,0.0
25,0.491602416992,-2244.86354361,0.0,0.0,2244.86354361,0.491602416992,-0.245801210403,0.0,0.0,0.0
26,0.515929855347,-2224.19003266,0.0,0.0,2224.19003266,0.515929855347,-0.257964938879,0.0,0.0,0.0
27,0.540257293701,-2204.17450779,0.0,0.0,2204.17450779,0.540257293701,-0.270128637552,0.0,0.0,0.0
28,0.576748451233,-2174.87574891,0.0,0.0,2174.87574891,0.576748451233,-0.288374215364,0.0,0.0,0.0
29,0.613239608765,-2148.64501200,0.0,0.0,2148.64501200,0.613239608765,-0.306619793177,0.0,0.0,0.0
30,0.649730766296,-2125.70295183,0.0,0.0,2125.70295183,0.649730766296,-0.324865370989,0.0,0.0,0.0
31,0.686221923828,-2106.10639289,0.0,0.0,2106.10639289,0.686221923828,-0.343110948801,0.0,0.0,0.0
32,0.72271308136,-2089.78773174,0.0,0.0,2089.78773174,0.72271308136,-0.361356526613,0.0,0.0,0.0
33,0.750081449509,-2080.07477200,0.0,0.0,2080.07477200,0.750081449509,-0.375040709972,0.0,0.0,0.0
34,0.777449817657,-2071.95725550,0.0,0.0,2071.95725550,0.777449817657,-0.388724923134,0.0,0.0,0.0
35,0.804818185806,-2065.42794278,0.0,0.0,2065.42794278,0.804818185806,-0.402409106493,0.0,0.0,0.0
36,0.832186553955,-2060.45712703,0.0,0.0,2060.45712703,0.832186553955,-0.416093289852,0.0,0.0,0.0
37,0.852712830067,-2057.94881884,0.0,0.0,2057.94881884,0.852712830067,-0.42635640502,0.0,0.0,0.0
38,0.873239106178,-2056.26975167,0.0,0.0,2056.26975167,0.873239106178,-0.43661954999,0.0,0.0,0.0
39,0.904028520346,-2054.93744290,0.0,0.0,2054.93744290,0.904028520346,-0.452014267445,0.0,0.0,0.0
40,0.934817934513,-2055.65807809,0.0,0.0,2055.65807809,0.934817934513,-0.467408955097,0.0,0.0,0.0
41,0.96560734868,-2058.49602229,0.0,0.0,2058.49602229,0.96560734868,-0.482803672552,0.0,0.0,0.0
42,0.988699409306,-2062.29832928,0.0,0.0,2062.29832928,0.988699409306,-0.494349718094,0.0,0.0,0.0
43,1.0,-2064.79573849,0.0,0.0,2064.79573849,1.0,-0.5,0.0,0.0,0.0
