Punto,Time_F,ForceX,ForceY,ForceZ,ForceTotal,Time_D,DispX,DispY,DispZ,DispTotal
0,0.02,-3659.67001203,0.0,0.0,3659.67001203,0.02,-0.00999999977648,0.0,0.0,0.0
1,0.04,-5330.20269860,0.0,0.0,5330.20269860,0.04,-0.019999999553,0.0,0.0,0.0
2,0.055,-5582.74537618,0.0,0.0,5582.74537618,0.055,-0.027499999851,0.0,0.0,0.0
3,0.07,-5713.20265439,0.0,0.0,5713.20265439,0.07,-0.035000000149,0.0,0.0,0.0
4,0.074,-5727.98272382,0.0,0.0,5727.98272382,0.074,-0.0370000004768,0.0,0.0,0.0
5,0.078,-5721.60797053,0.0,0.0,5721.60797053,0.078,-0.0390000008047,0.0,0.0,0.0
6,0.082,-5697.92041040,0.0,0.0,5697.92041040,0.082,-0.0410000011325,0.0,0.0,0.0
7,0.086,-5667.84212738,0.0,0.0,5667.84212738,0.086,-0.0430000014603,0.0,0.0,0.0
8,0.092,-5619.97490149,0.0,0.0,5619.97490149,0.092,-0.0460000000894,0.0,0.0,0.0
9,0.101,-5550.93826876,0.0,0.0,5550.93826876,0.101,-0.0505000017583,0.0,0.0,0.0
10,0.1145,-5448.65826382,0.0,0.0,5448.65826382,0.1145,-0.0572500005364,0.0,0.0,0.0
11,0.1215875,-5398.21261099,0.0,0.0,5398.21261099,0.1215875,-0.0607937499881,0.0,0.0,0.0
12,0.128675,-5343.33801136,0.0,0.0,5343.33801136,0.128675,-0.0643374994397,0.0,0.0,0.0
13,0.13930625,-5251.19649026,0.0,0.0,5251.19649026,0.13930625,-0.0696531236172,0.0,0.0,0.0
14,0.155253125,-5107.95398643,0.0,0.0,5107.95398643,0.155253125,-0.0776265636086,0.0,0.0,0.0
15,0.163625234375,-5042.41984808,0.0,0.0,5042.41984808,0.163625234375,-0.081812620163,0.0,0.0,0.0
16,0.17199734375,-4980.42934429,0.0,0.0,4980.42934429,0.17199734375,-0.0859986692667,0.0,0.0,0.0
17,0.184555507813,-4891.68843548,0.0,0.0,4891.68843548,0.184555507813,-0.0922777503729,0.0,0.0,0.0
18,0.197113671875,-4810.08953180,0.0,0.0,4810.08953180,0.197113671875,-0.0985568389297,0.0,0.0,0.0
19,0.209671835938,-4735.89639950,0.0,0.0,4735.89639950,0.209671835938,-0.104835920036,0.0,0.0,0.0
20,0.228509082031,-4636.42867680,0.0,0.0,4636.42867680,0.228509082031,-0.114254541695,0.0,0.0,0.0
21,0.247346328125,-4555.30411663,0.0,0.0,4555.30411663,0.247346328125,-0.123673163354,0.0,0.0,0.0
22,0.266183574219,-4489.79031109,0.0,0.0,4489.79031109,0.266183574219,-0.133091792464,0.0,0.0,0.0
23,0.294439443359,-4410.64168048,0.0,0.0,4410.64168048,0.294439443359,-0.147219717503,0.0,0.0,0.0
24,0.315631345215,-4365.62375598,0.0,0.0,4365.62375598,0.315631345215,-0.157815679908,0.0,0.0,0.0
25,0.33682324707,-4327.94382342,0.0,0.0,4327.94382342,0.33682324707,-0.168411627412,0.0,0.0,0.0
26,0.358015148926,-4295.54134906,0.0,0.0,4295.54134906,0.358015148926,-0.179007574916,0.0,0.0,0.0
