variable,S_primer_orden,ST_total,interaccion
m1,0.475972625820294,0.51619185392371,0.040219228103416
a1,0.287451684924532,0.389793958305181,0.10234227338065
m2,0.0605440995988907,0.0667612579383045,0.00621715833941378
a2,0.0030706656607943,0.0577800924184626,0.0547094267576683
b,0.0657955429366648,0.0783031670959113,0.0125076241592465
e_{cartela},0.0013062083089756,0.00812439533554917,0.00681818702657357
