m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,mass_kg,energy_per_mass,sim_time_s,y_max_stress_mm,valid_ansys,pivot_height_mm,lever_arm_mm,modo_fallo
2.9375,45.625,79.375,1000,2.9375,56.875,79.375,1000,80,3.4375,1624.827286,951991606.2,3594.13456,11.92165472,136.292094,1068.014536,161.2903226,1,161.2903226,838.7096774,Viga
3.9375,75.625,49.375,1000,3.9375,86.875,49.375,1000,80,2.4375,4483.065709,592695918.4,11494.96223,15.40585049,290.9976124,1534.929106,166.875,1,0,1000,Cartela
2.03125,87.8125,87.8125,1000,3.90625,80.3125,87.8125,1000,80,3.84375,1729.78679,1153171944,6181.283651,15.79553419,109.5111295,1197.840507,175.5319149,1,175.5319149,824.4680851,Viga
3.03125,57.8125,57.8125,1000,2.90625,50.3125,57.8125,1000,80,2.84375,2125.787038,882918361.3,4423.377649,10.17120522,209.000506,992.9962346,159.7222222,1,159.7222222,840.2777778,Viga
2.53125,42.8125,72.8125,1000,3.40625,65.3125,72.8125,1000,80,2.34375,1166.222451,1004660018,2673.680437,11.68530687,99.80246678,1053.147166,167.96875,1,167.96875,832.03125,Viga
3.53125,72.8125,42.8125,1000,2.40625,95.3125,42.8125,1000,80,3.34375,3603.616691,514721480.9,9384.640926,11.35002207,317.4986505,1411.418242,210.9375,1,210.9375,789.0625,Viga
2.28125,65.3125,65.3125,1000,2.15625,57.8125,65.3125,1000,80,3.59375,1513.198304,1418295731,3956.101044,8.92600991,169.5268456,1447.385171,152.34375,1,152.34375,847.65625,Viga
3.28125,95.3125,95.3125,1000,3.15625,87.8125,95.3125,1000,80,2.59375,4371.216627,775596079.2,10335.71826,18.5933099,235.0962067,788.2791587,167.8125,1,0,1000,Cartela
2.78125,80.3125,50.3125,1000,2.65625,72.8125,50.3125,1000,80,2.09375,2861.447622,1223265679,6299.507897,10.57265107,270.6461798,2094.836628,187.5,1,187.5,812.5,Viga
3.78125,50.3125,80.3125,1000,3.65625,42.8125,80.3125,1000,80,3.09375,2638.640913,771449824.1,5757.723655,14.32961173,184.1390376,1152.577781,148.4375,1,148.4375,851.5625,Viga
2.15625,54.0625,99.0625,1000,2.53125,99.0625,99.0625,1000,80,3.96875,1309.169752,1034170641,3893.842392,13.25849908,98.74192735,788.2948597,201.0869565,1,201.0869565,798.9130435,Viga
3.15625,84.0625,69.0625,1000,3.53125,69.0625,69.0625,1000,80,2.96875,3904.498821,1203729466,8760.600923,14.8722449,262.5359418,1676.557567,195.4545455,1,195.4545455,804.5454545,Viga
2.65625,99.0625,84.0625,1000,2.03125,54.0625,84.0625,1000,80,2.46875,2009.720397,776747804.9,5781.387294,11.9987848,167.4936613,1305.942053,134.0625,1,0,1000,Cartela
3.65625,69.0625,54.0625,1000,3.03125,84.0625,54.0625,1000,80,3.46875,3695.826757,762744180.3,8620.140004,13.27357682,278.434879,1610.243434,201.6129032,1,201.6129032,798.3870968,Viga
2.40625,76.5625,61.5625,1000,3.28125,46.5625,61.5625,1000,80,3.71875,2035.61489,1247281985,4969.46547,10.65833539,190.9880685,1393.419571,126.9230769,1,126.9230769,873.0769231,Viga
3.40625,46.5625,91.5625,1000,2.28125,76.5625,91.5625,1000,80,2.71875,2228.647218,872283035.2,4865.859636,13.23789964,168.3535363,1038.085715,179.245283,1,179.245283,820.754717,Viga
2.90625,61.5625,46.5625,1000,3.78125,91.5625,46.5625,1000,80,2.21875,2234.861506,956529392,4864.745436,12.62230702,177.0565002,1682.427851,207.6923077,1,207.6923077,792.3076923,Viga
3.90625,91.5625,76.5625,1000,2.78125,61.5625,76.5625,1000,80,3.21875,4977.792415,921847850.1,10520.21539,16.0004518,311.1032411,951.041794,141.5625,1,0,1000,Cartela
2.09375,55.9375,82.1875,1000,3.21875,74.6875,82.1875,1000,80,3.28125,1144.384838,1115135792,3385.125253,12.40960837,92.21764332,1113.497333,172.7272727,1,172.7272727,827.2727273,Viga
3.09375,85.9375,52.1875,1000,2.21875,44.6875,52.1875,1000,80,2.28125,2487.117069,971720843.3,5782.510178,9.848961104,252.5258291,1131.673133,124.6875,1,0,1000,Cartela
2.59375,70.9375,97.1875,1000,3.71875,59.6875,97.1875,1000,80,2.78125,2423.051195,1131736115,6186.834982,15.73995694,153.9426826,1303.289585,135,1,0,1000,Cartela
3.59375,40.9375,67.1875,1000,2.71875,89.6875,67.1875,1000,80,3.78125,1812.599216,592802542.6,4083.876369,12.57488162,144.1444357,992.9052763,196.7213115,1,196.7213115,803.2786885,Viga
2.34375,93.4375,44.6875,1000,2.96875,67.1875,44.6875,1000,80,3.03125,2375.778377,1340030022,5973.019527,10.12053341,234.748336,2167.079914,167.96875,1,167.96875,832.03125,Viga
3.34375,63.4375,74.6875,1000,3.96875,97.1875,74.6875,1000,80,2.03125,3095.624961,1057202492,6541.930608,17.35190244,178.4026259,1080.346139,206.7307692,1,206.7307692,793.2692308,Viga
2.84375,48.4375,59.6875,1000,2.46875,82.1875,59.6875,1000,80,2.53125,1598.166747,911439765.3,3298.917489,10.14265221,157.5689192,1086.525586,187.5,1,187.5,812.5,Viga
3.84375,78.4375,89.6875,1000,3.46875,52.1875,89.6875,1000,80,3.53125,4919.439936,986172543.9,10335.05259,17.48941509,281.2809869,860.6606082,132.1875,1,0,1000,Cartela
2.21875,82.1875,70.9375,1000,2.34375,85.9375,70.9375,1000,80,3.40625,1857.293297,1038441730,5484.234929,11.16541259,166.3434542,1002.160368,187.5,1,187.5,812.5,Viga
3.21875,52.1875,40.9375,1000,3.34375,55.9375,40.9375,1000,80,2.40625,1756.884368,408551234.4,4510.086897,9.323760387,188.4308793,1080.513267,135.9375,1,0,1000,Cartela
2.71875,67.1875,85.9375,1000,2.84375,40.9375,85.9375,1000,80,2.90625,2373.32257,862165526.7,5305.638421,12.0826125,196.4246201,1321.32797,120.9375,1,0,1000,Cartela
3.71875,97.1875,55.9375,1000,3.84375,70.9375,55.9375,1000,80,3.90625,4941.98147,983206974.8,11307.33805,16.08896862,307.1658344,1107.506175,150.9375,1,0,1000,Cartela
2.46875,44.6875,48.4375,1000,3.59375,48.4375,48.4375,1000,80,3.15625,1078.867582,824584251.3,2259.631183,8.772902232,122.9772718,818.6008295,158.8235294,1,158.8235294,841.1764706,Viga
3.46875,74.6875,78.4375,1000,2.59375,78.4375,78.4375,1000,80,2.15625,4018.725189,1175719025,8695.679853,14.39703715,279.1355713,1351.535075,201.9230769,1,201.9230769,798.0769231,Viga
2.96875,89.6875,63.4375,1000,3.09375,93.4375,63.4375,1000,80,2.65625,3714.16025,1242572461,8780.61846,14.46281524,256.8075571,1505.161619,216.3461538,1,216.3461538,783.6538462,Viga
3.96875,59.6875,93.4375,1000,2.09375,63.4375,93.4375,1000,80,3.65625,3866.393963,897864706.4,8255.742127,14.55298574,265.6770255,918.0425612,163.4615385,1,163.4615385,836.5384615,Viga
2.015625,79.84375,98.59375,1000,3.046875,62.96875,98.59375,1000,80,2.390625,1536.97533,763483432.4,5020.18599,13.28556699,115.6875978,1233.93794,142.9688,1,0,1000,Cartela
3.015625,49.84375,68.59375,1000,2.046875,92.96875,68.59375,1000,80,3.390625,1919.629187,973553713.9,3965.003437,10.75924025,178.4167974,932.9415214,198.2758621,1,198.2758621,801.7241379,Viga
2.515625,64.84375,83.59375,1000,3.546875,77.96875,83.59375,1000,80,3.890625,1872.639534,1121967333,5131.830862,14.7499339,126.9591814,1140.775471,173.0769231,1,173.0769231,826.9230769,Viga
3.515625,94.84375,53.59375,1000,2.546875,47.96875,53.59375,1000,80,2.890625,2997.283749,1012999505,7464.606215,11.94515888,250.9203752,1183.010939,127.9688,1,0,1000,Cartela
2.265625,42.34375,61.09375,1000,2.796875,70.46875,61.09375,1000,80,2.140625,946.8646003,920334008.3,2139.288199,9.27324084,102.1071939,1092.459304,166.6666667,1,166.6666667,833.3333333,Viga
3.265625,72.34375,91.09375,1000,3.796875,40.46875,91.09375,1000,80,3.140625,3320.638702,900774808.9,7164.899407,15.84639065,209.5517381,830.6557763,120.4688,1,0,1000,Cartela
2.765625,87.34375,46.09375,1000,2.296875,55.46875,46.09375,1000,80,3.640625,2430.20544924,812511173.661,6695.56689015,9.38244892999,259.016112677,2055.0778972,135.4688,1,0,1000,Cartela
3.765625,57.34375,76.09375,1000,3.296875,85.46875,76.09375,1000,80,2.640625,3228.060924,857950993.8,6878.022824,15.77608534,204.6173595,1219.006816,195.4545455,1,195.4545455,804.5454545,Viga
2.140625,61.09375,87.34375,1000,2.421875,51.71875,87.34375,1000,80,2.265625,1316.176058,1118927039,3979.303781,10.23780908,128.5603245,1574.484079,138.3928571,1,138.3928571,861.6071429,Viga
3.140625,91.09375,57.34375,1000,3.421875,81.71875,57.34375,1000,80,3.265625,4202.137669,1287786825,9302.516556,14.44304159,290.94548,1655.609082,200.8928571,1,200.8928571,799.1071429,Viga
2.640625,76.09375,72.34375,1000,2.921875,96.71875,72.34375,1000,80,3.765625,2512.840266,1103955040,6223.74483,13.8534916,181.3867824,1204.063209,191.1764706,1,191.1764706,808.8235294,Viga
3.640625,46.09375,42.34375,1000,3.921875,66.71875,42.34375,1000,80,2.765625,1671.092795,393332594,4329.689681,11.11406828,150.3583345,1035.234498,146.7188,1,0,1000,Cartela
2.390625,98.59375,64.84375,1000,3.671875,89.21875,64.84375,1000,80,2.015625,2185.042329,769648745.6,7084.039864,14.63026688,149.3508181,1981.035532,169.2188,1,0,1000,Cartela
3.390625,68.59375,94.84375,1000,2.671875,59.21875,94.84375,1000,80,3.015625,3736.005181,1005977089,7962.06428,14.98329649,249.3446741,1122.579576,142.1568627,1,142.1568627,857.8431373,Viga
2.890625,53.59375,49.84375,1000,3.171875,44.21875,49.84375,1000,80,3.515625,1733.47258,789529784.3,3765.223795,9.13242822,189.8150786,972.0403317,158.5365854,1,158.5365854,841.4634146,Viga
3.890625,83.59375,79.84375,1000,2.171875,74.21875,79.84375,1000,80,2.515625,4970.357173,936632974.9,10566.61001,14.91787388,333.1813375,884.8522367,74.2188,1,0,1000,Cartela
2.078125,47.96875,70.46875,1000,3.859375,61.09375,70.46875,1000,80,2.953125,926.4605184,1265948873,2498.834628,11.56576379,80.10370395,1285.413746,160.15625,1,160.15625,839.84375,Viga
3.078125,77.96875,40.46875,1000,2.859375,91.09375,40.46875,1000,80,3.953125,3338.394863,867510026.7,7663.220845,11.41626657,292.4243966,2447.995175,207.03125,1,207.03125,792.96875,Viga
2.578125,92.96875,85.46875,1000,3.359375,76.09375,85.46875,1000,80,3.453125,2533.518607,774812060.6,8127.606378,15.61622737,162.2362781,1104.398984,156.0938,1,0,1000,Cartela
3.578125,62.96875,55.46875,1000,2.359375,46.09375,55.46875,1000,80,2.453125,2979.636497,577010252.1,7108.088647,10.08279857,295.5168126,1390.69687,164.3835616,1,164.3835616,835.6164384,Viga
2.328125,70.46875,47.96875,1000,2.109375,83.59375,47.96875,1000,80,2.703125,1752.958208,1166742776,4082.753967,8.627123919,203.1914951,1354.770604,199.21875,1,199.21875,800.78125,Viga
3.328125,40.46875,77.96875,1000,3.109375,53.59375,77.96875,1000,80,3.703125,1632.120686,757574418.5,3485.105036,12.402159,131.5997228,945.1148311,156.25,1,156.25,843.75,Viga
2.828125,55.46875,62.96875,1000,2.609375,68.59375,62.96875,1000,80,3.203125,1865.346294,1053557424,3981.234289,10.52368051,177.2522733,1219.107338,175.78125,1,175.78125,824.21875,Viga
3.828125,85.46875,92.96875,1000,3.609375,98.59375,92.96875,1000,80,2.203125,5984.246365,1079213123,13267.00949,21.00306834,284.9224822,1725.342329,227.2727273,1,227.2727273,772.7272727,Viga
2.203125,89.21875,81.71875,1000,2.734375,42.34375,81.71875,1000,80,2.828125,1173.16098,699221535,4499.575602,11.19867859,104.7588758,1192.113488,122.3438,1,0,1000,Cartela
3.203125,59.21875,51.71875,1000,3.734375,72.34375,51.71875,1000,80,3.828125,2415.057247,754815082.3,5415.023528,12.46080806,193.81225,1231.243149,188.4057971,1,188.4057971,811.5942029,Viga
2.703125,44.21875,96.71875,1000,2.234375,87.34375,96.71875,1000,80,3.328125,1492.228796,1023762401,3681.572999,12.50501975,119.330383,791.575444,190,1,190,810,Viga
