m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,mass_kg,energy_per_mass,sim_time_s,y_max_stress_mm,valid_ansys,pivot_height_mm,lever_arm_mm,modo_fallo
3.4375,60.625,64.375,1000,3.4375,41.875,64.375,1000,80,3.9375,2797.12435084,779454983.505,5915.86313255,12.1611422802,230.005067483,869.5730103,157.142857143,1,157.142857143,842.857142857,Viga
2.9375,45.625,79.375,1000,2.9375,56.875,79.375,1000,80,3.4375,1624.82728586,951991606.155,3594.13455993,11.9216547238,136.292093968,1068.0145357,161.290322581,1,161.290322581,838.709677419,Viga
3.9375,75.625,49.375,1000,3.9375,86.875,49.375,1000,80,2.4375,4483.06570921,592695918.419,11494.9622322,15.4058504909,290.997612359,1534.9291064,166.875,1,0,1000,Cartela
2.03125,87.8125,87.8125,1000,3.90625,80.3125,87.8125,1000,80,3.84375,1729.78679034,1153171944.31,6181.28365062,15.7955341858,109.511129538,1197.8405069,175.531914894,1,175.531914894,824.468085106,Viga
3.03125,57.8125,57.8125,1000,2.90625,50.3125,57.8125,1000,80,2.84375,2125.78703775,882918361.277,4423.37764935,10.1712052195,209.000506024,992.9962346,159.722222222,1,159.722222222,840.277777778,Viga
2.53125,42.8125,72.8125,1000,3.40625,65.3125,72.8125,1000,80,2.34375,1166.22245108,1004660017.62,2673.68043735,11.6853068739,99.8024667786,1053.1471664,167.96875,1,167.96875,832.03125,Viga
3.53125,72.8125,42.8125,1000,2.40625,95.3125,42.8125,1000,80,3.34375,3603.616691,514721480.901,9384.64092611,11.3500220735,317.498650458,1411.4182416,210.9375,1,210.9375,789.0625,Viga
2.28125,65.3125,65.3125,1000,2.15625,57.8125,65.3125,1000,80,3.59375,1513.19830382,1418295730.78,3956.10104357,8.9260099102,169.526845595,1447.3851706,152.34375,1,152.34375,847.65625,Viga
3.28125,95.3125,95.3125,1000,3.15625,87.8125,95.3125,1000,80,2.59375,4371.2166271,775596079.15,10335.7182587,18.5933098989,235.096206694,788.2791587,167.8125,1,0,1000,Cartela
2.78125,80.3125,50.3125,1000,2.65625,72.8125,50.3125,1000,80,2.09375,2861.44762199,1223265678.51,6299.50789747,10.5726510677,270.646179815,2094.8366284,187.5,1,187.5,812.5,Viga
3.78125,50.3125,80.3125,1000,3.65625,42.8125,80.3125,1000,80,3.09375,2638.64091283,771449824.14,5757.72365497,14.3296117304,184.139037573,1152.5777812,148.4375,1,148.4375,851.5625,Viga
2.15625,54.0625,99.0625,1000,2.53125,99.0625,99.0625,1000,80,3.96875,1309.16975248,1034170640.61,3893.84239209,13.2584990756,98.741927349,788.2948597,201.086956522,1,201.086956522,798.913043478,Viga
3.15625,84.0625,69.0625,1000,3.53125,69.0625,69.0625,1000,80,2.96875,3904.49882053,1203729465.72,8760.60092324,14.8722448976,262.535941776,1676.5575668,195.454545455,1,195.454545455,804.545454545,Viga
2.65625,99.0625,84.0625,1000,2.03125,54.0625,84.0625,1000,80,2.46875,2009.72039719,776747804.894,5781.38729433,11.998784799,167.493661304,1305.942053,134.0625,1,0,1000,Cartela
3.65625,69.0625,54.0625,1000,3.03125,84.0625,54.0625,1000,80,3.46875,3695.82675686,762744180.279,8620.14000408,13.2735768245,278.434878988,1610.2434343,201.612903226,1,201.612903226,798.387096774,Viga
2.40625,76.5625,61.5625,1000,3.28125,46.5625,61.5625,1000,80,3.71875,2035.61488969,1247281984.62,4969.46546995,10.6583353896,190.98806852,1393.4195705,126.923076923,1,126.923076923,873.076923077,Viga
3.40625,46.5625,91.5625,1000,2.28125,76.5625,91.5625,1000,80,2.71875,2228.64721809,872283035.155,4865.85963627,13.2378996441,168.353536287,1038.0857147,179.245283019,1,179.245283019,820.754716981,Viga
2.90625,61.5625,46.5625,1000,3.78125,91.5625,46.5625,1000,80,2.21875,2234.86150576,956529392.012,4864.7454359,12.62230702,177.056500228,1682.427851,207.692307692,1,207.692307692,792.307692308,Viga
3.90625,91.5625,76.5625,1000,2.78125,61.5625,76.5625,1000,80,3.21875,4977.79241487,921847850.121,10520.2153929,16.0004518027,311.103241099,951.041794,141.5625,1,0,1000,Cartela
2.09375,55.9375,82.1875,1000,3.21875,74.6875,82.1875,1000,80,3.28125,1144.38483823,1115135792.34,3385.12525311,12.4096083679,92.2176433212,1113.4973329,172.727272727,1,172.727272727,827.272727273,Viga
3.09375,85.9375,52.1875,1000,2.21875,44.6875,52.1875,1000,80,2.28125,2487.11706875,971720843.268,5782.51017764,9.84896110373,252.525829126,1131.6731332,124.6875,1,0,1000,Cartela
2.59375,70.9375,97.1875,1000,3.71875,59.6875,97.1875,1000,80,2.78125,2423.05119479,1131736114.8,6186.83498207,15.7399569407,153.942682558,1303.2895847,135,1,0,1000,Cartela
3.59375,40.9375,67.1875,1000,2.71875,89.6875,67.1875,1000,80,3.78125,1812.59921598,592802542.565,4083.8763685,12.5748816235,144.144435729,992.9052763,196.721311475,1,196.721311475,803.278688525,Viga
2.34375,93.4375,44.6875,1000,2.96875,67.1875,44.6875,1000,80,3.03125,2375.77837689,1340030022.48,5973.01952705,10.1205334059,234.748336041,2167.0799135,167.96875,1,167.96875,832.03125,Viga
3.34375,63.4375,74.6875,1000,3.96875,97.1875,74.6875,1000,80,2.03125,3095.62496086,1057202492.35,6541.93060817,17.3519024431,178.402625937,1080.3461388,206.730769231,1,206.730769231,793.269230769,Viga
