Modelo,N_train,N_Cartela_train,Coste_sims,RMSE_CV_J,RMSE_test_Cartela_J,RMSE_test_SEA_J_kg,N_test_Cartela,EPM_opt_predicho_J_kg,EPM_opt_real_J_kg,Sesgo_opt_pct
IA_0 (mixtas),128,42,128,202.263346996566,190.466685288466,14.164115048099,26,426.229620032823,468.9998827,-9.1194612717068
IA_c (Cartela),128,128,439,165.147869705295,167.834086358958,12.2296694564209,26,506.922696403763,NaN,NaN
