m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,mass_kg,energy_per_mass,sim_time_s,y_max_stress_mm,valid_ansys,pivot_height_mm,lever_arm_mm,modo_fallo
2.859375,73.28125,80.78125,1000,3.453125,90.15625,80.78125,1000,107.109375,2.921875,2888.737914,1150045888,7178.857452,16.09606704,179.4685563,1246.85633,210,1,210,790,Viga
3.859375,43.28125,50.78125,1000,2.453125,60.15625,50.78125,1000,82.109375,3.921875,1775.371196,402572868.6,4396.617811,9.704538044,182.9423706,900.2332918,177.2151899,1,177.2151899,822.7848101,Viga
2.234375,47.03125,69.53125,1000,3.328125,78.90625,69.53125,1000,116.484375,3.046875,1115.904945,1093804951,2793.975073,11.93898443,93.46732554,1273.839677,209.0163934,1,209.0163934,790.9836066,Viga
3.234375,77.03125,99.53125,1000,2.328125,48.90625,99.53125,1000,91.484375,2.046875,3569.869759,769440363.3,7512.16797,14.23413143,250.796459,933.4388376,140.3906,1,0,1000,Cartela
2.734375,92.03125,54.53125,1000,3.828125,63.90625,54.53125,1000,103.984375,2.546875,3229.812965,1336375753,7774.181941,13.09174863,246.7060021,1963.798198,209.0163934,1,209.0163934,790.9836066,Viga
3.734375,62.03125,84.53125,1000,2.828125,93.90625,84.53125,1000,78.984375,3.546875,3700.944098,995292947.3,7687.486021,16.26335773,227.5633457,1150.419573,200,1,200,800,Viga
2.484375,84.53125,92.03125,1000,2.578125,56.40625,92.03125,1000,97.734375,3.296875,2539.422437,1000736588,7271.869347,13.06891871,194.3100645,1243.877067,155,1,155,845,Viga
3.484375,54.53125,62.03125,1000,3.578125,86.40625,62.03125,1000,72.734375,2.296875,2528.267177,744553068.9,5536.033083,14.14239826,178.7721665,1599.44392,196.7213115,1,196.7213115,803.2786885,Viga
2.984375,69.53125,77.03125,1000,2.078125,71.40625,77.03125,1000,110.234375,2.796875,2869.983788,1192156311,6712.252816,11.825325,242.6980898,1397.716344,209.0909091,1,209.0909091,790.9090909,Viga
3.984375,99.53125,47.03125,1000,3.078125,41.40625,47.03125,1000,85.234375,3.796875,3845.765922,1045781657,9342.427698,13.03157627,295.111339,870.4484472,126.6406,1,0,1000,Cartela
2.0078125,99.765625,73.046875,1000,2.6171875,74.453125,73.046875,1000,103.7890625,2.6953125,1879.114558,994202575.7,7060.702949,11.62136499,161.6948233,1569.445337,195,1,195,805,Viga
3.0078125,69.765625,43.046875,1000,3.6171875,44.453125,43.046875,1000,78.7890625,3.6953125,2608.995411,721275416.9,6086.159622,9.92071015,262.9847432,1005.787146,162.5,1,162.5,837.5,Viga
2.5078125,54.765625,88.046875,1000,2.1171875,59.453125,88.046875,1000,116.2890625,3.1953125,1608.982433,1202293377,4390.381156,10.88996287,147.7491202,1132.314455,196.4285714,1,196.4285714,803.5714286,Viga
3.5078125,84.765625,58.046875,1000,3.1171875,89.453125,58.046875,1000,91.2890625,2.1953125,4789.166664,1184437002,10033.41822,14.66497365,326.5717878,1617.51311,218.75,1,218.75,781.25,Viga
2.2578125,62.265625,50.546875,1000,3.3671875,66.953125,50.546875,1000,110.0390625,2.9453125,1469.27745,1240255522,3402.362507,10.15630392,144.6665502,1150.416426,207.1428571,1,207.1428571,792.8571429,Viga
3.2578125,92.265625,80.546875,1000,2.3671875,96.953125,80.546875,1000,85.0390625,3.9453125,4577.637536,1200167911,10643.47521,15.45048055,296.2780039,1017.930696,206.5217391,1,206.5217391,793.4782609,Viga
2.7578125,77.265625,65.546875,1000,3.8671875,81.953125,65.546875,1000,97.5390625,3.4453125,2737.051562,1173843218,6466.244617,14.93232545,183.2970739,1364.360939,209.8214286,1,209.8214286,790.1785714,Viga
