variable,S_primer_orden,ST_total,interaccion
m1,0.43596481313736,0.483658761064148,0.0476939479267882
a1,0.324102434929068,0.415473982318902,0.0913715473898337
m2,0.0538107048698439,0.0605199510932116,0.00670924622336767
a2,0.00377752475867113,0.0291532697486714,0.0253757449900003
b,0.0645058691214075,0.0793249986927364,0.0148191295713288
e_{cartela},0.00213020322935317,0.00792836894061354,0.00579816571126037
c,0.0132837439149837,0.0415410631989247,0.028257319283941
