m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,mass_kg,energy_per_mass,sim_time_s,y_max_stress_mm,valid_ansys,pivot_height_mm,lever_arm_mm,modo_fallo
2.03125,87.8125,87.8125,1000,3.90625,80.3125,87.8125,1000,106.71875,3.84375,1775.88717196,891423935.074,6716.40740482,16.0461879877,110.673461717,1303.0063912,244.680851064,1,244.680851064,755.319148936,Viga
3.03125,57.8125,57.8125,1000,2.90625,50.3125,57.8125,1000,81.71875,2.84375,2128.5294395,909349539.485,4422.68433201,10.1805475197,209.078090877,857.6312347,166.666666667,1,166.666666667,833.333333333,Viga
2.53125,42.8125,72.8125,1000,3.40625,65.3125,72.8125,1000,119.21875,2.34375,1224.38902649,1025534245.63,2820.64921623,11.9033620283,102.860773585,1441.4197473,203.125,1,203.125,796.875,Viga
3.53125,72.8125,42.8125,1000,2.40625,95.3125,42.8125,1000,94.21875,3.34375,3692.62375642,537921959.289,9620.33094559,11.4376426103,322.848324802,1649.1555344,222.65625,1,222.65625,777.34375,Viga
2.28125,65.3125,65.3125,1000,2.15625,57.8125,65.3125,1000,112.96875,3.59375,1556.95014337,1267888212.31,4031.87667779,9.19139784472,169.392095705,1435.6469892,183.59375,1,183.59375,816.40625,Viga
3.28125,95.3125,95.3125,1000,3.15625,87.8125,95.3125,1000,87.96875,2.59375,4727.39170775,782290325.255,11140.4185191,18.6424345008,253.582315526,998.839722,175.7813,1,0,1000,Cartela
2.78125,80.3125,50.3125,1000,2.65625,72.8125,50.3125,1000,100.46875,2.09375,2906.34322199,1260658132.78,6419.87161833,10.657304553,272.709033277,1850.9214077,207.03125,1,207.03125,792.96875,Viga
3.78125,50.3125,80.3125,1000,3.65625,42.8125,80.3125,1000,75.46875,3.09375,2653.08314342,696383436.521,5861.38556601,14.3000040345,185.530237406,1185.6476911,140.625,1,140.625,859.375,Viga
2.15625,54.0625,99.0625,1000,2.53125,99.0625,99.0625,1000,109.84375,3.96875,79.1351014338,285265294.41,4308.5999323,13.5652720387,5.83365384846,328.0146167,208.9063,1,0,1000,Cartela
3.15625,84.0625,69.0625,1000,3.53125,69.0625,69.0625,1000,84.84375,2.96875,3849.74256677,1290277395.29,8770.47197986,14.9018787075,258.339410911,1573.9155555,200,1,200,800,Viga
2.65625,99.0625,84.0625,1000,2.03125,54.0625,84.0625,1000,97.34375,2.46875,2395.62369369,776074294.375,7344.79599138,12.0983535785,198.012372357,1312.0608432,151.4063,1,0,1000,Cartela
3.65625,69.0625,54.0625,1000,3.03125,84.0625,54.0625,1000,72.34375,3.46875,3652.85990041,736611056.063,8514.89100742,13.2258769016,276.190374944,1423.5314442,197.580645161,1,197.580645161,802.419354839,Viga
2.40625,76.5625,61.5625,1000,3.28125,46.5625,61.5625,1000,103.59375,3.71875,1989.65341162,1157093364.35,5263.54197938,10.8447536921,183.466906498,1432.5510937,176.923076923,1,176.923076923,823.076923077,Viga
3.40625,46.5625,91.5625,1000,2.28125,76.5625,91.5625,1000,78.59375,2.71875,2223.09355981,880964784.281,4857.69035531,13.2292537237,168.04376167,1035.1287538,179.245283019,1,179.245283019,820.754716981,Viga
2.90625,61.5625,46.5625,1000,3.78125,91.5625,46.5625,1000,116.09375,2.21875,2338.16866708,985033421.241,5056.60845787,12.7869819228,182.855397872,1667.2674804,242.307692308,1,242.307692308,757.692307692,Viga
3.90625,91.5625,76.5625,1000,2.78125,61.5625,76.5625,1000,91.09375,3.21875,5579.8457546,892091144.176,11782.3133781,16.0787628464,347.032032743,857.6854899,152.6563,1,0,1000,Cartela
2.09375,55.9375,82.1875,1000,3.21875,74.6875,82.1875,1000,83.28125,3.28125,1138.33040868,1012556041.41,3391.45304891,12.4332313831,91.5554752908,1062.3740683,177.272727273,1,177.272727273,822.727272727,Viga
3.09375,85.9375,52.1875,1000,2.21875,44.6875,52.1875,1000,108.28125,2.28125,0,0,8091.93603102,9.98169254113,0,983.9814054,42.4687,0,0,1000,Cartela
2.59375,70.9375,97.1875,1000,3.71875,59.6875,97.1875,1000,70.78125,2.78125,2462.60630245,743304945.218,5747.22389629,15.6819462495,157.034481771,1122.4489519,130.4687,1,0,1000,Cartela
3.59375,40.9375,67.1875,1000,2.71875,89.6875,67.1875,1000,95.78125,3.78125,1854.09916023,605561245.116,4190.85187851,12.7017302773,145.972172275,1023.0429501,217.213114754,1,217.213114754,782.786885246,Viga
2.34375,93.4375,44.6875,1000,2.96875,67.1875,44.6875,1000,77.03125,3.03125,0,0,6004.67583661,10.1049759192,0,580.776362,5.93760333971,0,0,1000,Cartela
3.34375,63.4375,74.6875,1000,3.96875,97.1875,74.6875,1000,102.03125,2.03125,3182.73046345,1111276234.65,6719.22149962,17.4529516341,182.360584627,1044.3111711,225.961538462,1,225.961538462,774.038461538,Viga
2.84375,48.4375,59.6875,1000,2.46875,82.1875,59.6875,1000,89.53125,2.53125,1615.528275,983459477.927,3340.9104822,10.1907448218,158.528969496,1074.3434629,199.21875,1,199.21875,800.78125,Viga
