m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,mass_kg,energy_per_mass,sim_time_s,y_max_stress_mm,valid_ansys,pivot_height_mm,lever_arm_mm,modo_fallo
2.9375,45.625,79.375,1000,2.9375,56.875,79.375,1000,80,3.4375,1790.11132,1049482458,4118.030256,11.92165472,150.1562796,917.6972282,161.2903226,1,161.2903226,838.7096774,Viga
3.9375,75.625,49.375,1000,3.9375,86.875,49.375,1000,80,2.4375,5014.60558,688118818.4,12233.04468,15.40585049,325.5000808,1260.769448,205.6451613,1,205.6451613,794.3548387,Viga
2.03125,87.8125,87.8125,1000,3.90625,80.3125,87.8125,1000,80,3.84375,1872.586546,1069273587,6998.454791,15.79553419,118.551644,1137.364836,175.5319149,1,175.5319149,824.4680851,Viga
3.03125,57.8125,57.8125,1000,2.90625,50.3125,57.8125,1000,80,2.84375,2338.707266,1057703264,4861.822441,10.17120522,229.9341342,872.7170116,159.7222222,1,159.7222222,840.2777778,Viga
2.53125,42.8125,72.8125,1000,3.40625,65.3125,72.8125,1000,80,2.34375,1277.698625,1092056886,3044.057427,11.68530687,109.3423253,968.9496913,167.96875,1,167.96875,832.03125,Viga
3.53125,72.8125,42.8125,1000,2.40625,95.3125,42.8125,1000,80,3.34375,4033.62673,678622228.3,9977.505042,11.35002207,355.3849238,1380.850349,210.9375,1,210.9375,789.0625,Viga
2.28125,65.3125,65.3125,1000,2.15625,57.8125,65.3125,1000,80,3.59375,1652.379489,1449207080,4528.963764,8.92600991,185.1196117,1284.776719,152.34375,1,152.34375,847.65625,Viga
3.28125,95.3125,95.3125,1000,3.15625,87.8125,95.3125,1000,80,2.59375,4858.423599,837182099.1,11824.95366,18.5933099,261.2995548,776.428524,167.8125,1,0,1000,Cartela
2.78125,80.3125,50.3125,1000,2.65625,72.8125,50.3125,1000,80,2.09375,3102.390981,1290141137,7027.141866,10.57265107,293.4354838,1847.57352,195.3125,1,195.3125,804.6875,Viga
3.78125,50.3125,80.3125,1000,3.65625,42.8125,80.3125,1000,80,3.09375,2927.707993,884232660.4,6227.514976,14.32961173,204.311746,914.6988867,148.4375,1,148.4375,851.5625,Viga
2.15625,54.0625,99.0625,1000,2.53125,99.0625,99.0625,1000,80,3.96875,1437.958702,1078854725,4614.809848,13.25849908,108.4556173,728.1371366,201.0869565,1,201.0869565,798.9130435,Viga
3.15625,84.0625,69.0625,1000,3.53125,69.0625,69.0625,1000,80,2.96875,4213.337517,959983990.4,10009.77814,14.8722449,283.3020533,1221.633905,149.0625,1,0,1000,Cartela
2.65625,99.0625,84.0625,1000,2.03125,54.0625,84.0625,1000,80,2.46875,2242.051591,836862806.2,6597.295312,11.9987848,186.8565549,1212.685486,134.0625,1,0,1000,Cartela
3.65625,69.0625,54.0625,1000,3.03125,84.0625,54.0625,1000,80,3.46875,4081.543416,936315602.5,9106.192431,13.27357682,307.4938632,1438.113907,201.6129032,1,201.6129032,798.3870968,Viga
2.40625,76.5625,61.5625,1000,3.28125,46.5625,61.5625,1000,80,3.71875,2192.768871,1228340653,5673.968174,10.65833539,205.7327707,1420.214906,126.9230769,1,126.9230769,873.0769231,Viga
3.40625,46.5625,91.5625,1000,2.28125,76.5625,91.5625,1000,80,2.71875,2469.927048,967899340,5625.684498,13.23789964,186.5799798,1017.132985,179.245283,1,179.245283,820.754717,Viga
2.90625,61.5625,46.5625,1000,3.78125,91.5625,46.5625,1000,80,2.21875,2446.542429,1106218208,5136.860965,12.62230702,193.8268832,1227.675225,207.6923077,1,207.6923077,792.3076923,Viga
3.90625,91.5625,76.5625,1000,2.78125,61.5625,76.5625,1000,80,3.21875,5465.953355,992523082.2,11742.74283,16.0004518,341.6124384,794.5697013,141.5625,1,0,1000,Cartela
2.09375,55.9375,82.1875,1000,3.21875,74.6875,82.1875,1000,80,3.28125,1356.257879,1218126816,4009.41717,12.40960837,109.2909493,1185.812331,159.0909091,1,159.0909091,840.9090909,Viga
3.09375,85.9375,52.1875,1000,2.21875,44.6875,52.1875,1000,80,2.28125,2945.882753,948667596,6453.119695,9.848961104,299.1059384,851.6009204,124.6875,1,0,1000,Cartela
2.59375,70.9375,97.1875,1000,3.71875,59.6875,97.1875,1000,80,2.78125,2629.031947,1134237103,7092.776996,15.73995694,167.0291702,1125.469779,135,1,0,1000,Cartela
3.59375,40.9375,67.1875,1000,2.71875,89.6875,67.1875,1000,80,3.78125,2030.384899,699807842.5,4506.373455,12.57488162,161.4635397,954.0228279,196.7213115,1,196.7213115,803.2786885,Viga
2.34375,93.4375,44.6875,1000,2.96875,67.1875,44.6875,1000,80,3.03125,2606.015293,1359450486,6889.797209,10.12053341,257.4978203,2085.224435,167.96875,1,167.96875,832.03125,Viga
3.34375,63.4375,74.6875,1000,3.96875,97.1875,74.6875,1000,80,2.03125,3426.13662,1130502418,7459.019908,17.35190244,197.4502007,1005.019614,197.1153846,1,197.1153846,802.8846154,Viga
2.84375,48.4375,59.6875,1000,2.46875,82.1875,59.6875,1000,80,2.53125,1768.625513,1022955691,3764.439988,10.14265221,174.3750527,1017.174514,187.5,1,187.5,812.5,Viga
3.84375,78.4375,89.6875,1000,3.46875,52.1875,89.6875,1000,80,3.53125,5440.149248,1077326859,11294.52905,17.48941509,311.0538129,791.5766264,132.1875,1,0,1000,Cartela
2.21875,82.1875,70.9375,1000,2.34375,85.9375,70.9375,1000,80,3.40625,2073.774482,1060460759,6667.818491,11.16541259,185.7320064,1092.711752,187.5,1,187.5,812.5,Viga
3.21875,52.1875,40.9375,1000,3.34375,55.9375,40.9375,1000,80,2.40625,1983.973231,478816619.4,4965.78652,9.323760387,212.7868101,851.6810098,170.5882353,1,170.5882353,829.4117647,Viga
2.71875,67.1875,85.9375,1000,2.84375,40.9375,85.9375,1000,80,2.90625,2666.068935,917514525.6,6043.271733,12.0826125,220.6533508,1035.186974,120.9375,1,0,1000,Cartela
3.71875,97.1875,55.9375,1000,3.84375,70.9375,55.9375,1000,80,3.90625,5431.613964,1106342485,12836.90122,16.08896862,337.5986425,969.7641079,150.9375,1,0,1000,Cartela
2.46875,44.6875,48.4375,1000,3.59375,48.4375,48.4375,1000,80,3.15625,1189.741463,929945286.9,2497.046931,8.772902232,135.6154932,695.2447141,152.9411765,1,152.9411765,847.0588235,Viga
3.46875,74.6875,78.4375,1000,2.59375,78.4375,78.4375,1000,80,2.15625,4418.378627,1213309644,9963.484206,14.39703715,306.8949938,1246.180921,201.9230769,1,201.9230769,798.0769231,Viga
2.96875,89.6875,63.4375,1000,3.09375,93.4375,63.4375,1000,80,2.65625,4054.1748903,1263168906.54,9988.16315869,14.4628152361,280.317132185,1422.8757981,197.115384615,1,197.115384615,802.884615385,Viga
3.96875,59.6875,93.4375,1000,2.09375,63.4375,93.4375,1000,80,3.65625,4266.823896,1020627626,9067.431979,14.55298574,293.1923368,1038.286475,163.4615385,1,163.4615385,836.5384615,Viga
2.015625,79.84375,98.59375,1000,3.046875,62.96875,98.59375,1000,80,2.390625,1693.554827,816641123.8,5772.661452,13.28556699,127.473282,1140.738214,142.9688,1,0,1000,Cartela
3.015625,49.84375,68.59375,1000,2.046875,92.96875,68.59375,1000,80,3.390625,2119.200858,1063165366,4516.36294,10.75924025,196.9656601,833.7584322,198.2758621,1,198.2758621,801.7241379,Viga
2.515625,64.84375,83.59375,1000,3.546875,77.96875,83.59375,1000,80,3.890625,2062.013317,1129000006,6091.400195,14.7499339,139.7981395,1080.66254,201.9230769,1,201.9230769,798.0769231,Viga
3.515625,94.84375,53.59375,1000,2.546875,47.96875,53.59375,1000,80,2.890625,3349.77745,1098268782,8437.059771,11.94515888,280.4297107,1212.959697,127.9688,1,0,1000,Cartela
2.265625,42.34375,61.09375,1000,2.796875,70.46875,61.09375,1000,80,2.140625,1037.387648,1025232704,2431.893053,9.27324084,111.8689426,917.9181617,166.6666667,1,166.6666667,833.3333333,Viga
