Punto,Time_F,ForceX,ForceY,ForceZ,ForceTotal,Time_D,DispX,DispY,DispZ,DispTotal
0,0.02,-6852.67836537,0.0,0.0,6852.67836537,0.02,-0.00999999977648,0.0,0.0,0.0
1,0.04,-7948.52275085,0.0,0.0,7948.52275085,0.04,-0.019999999553,0.0,0.0,0.0
2,0.04675,-8046.34763522,0.0,0.0,8046.34763522,0.04675,-0.0233750008047,0.0,0.0,0.0
3,0.0535,-8127.63089525,0.0,0.0,8127.63089525,0.0535,-0.0267500001937,0.0,0.0,0.0
4,0.063625,-8104.53099456,0.0,0.0,8104.53099456,0.063625,-0.0318125002086,0.0,0.0,0.0
5,0.07375,-7800.77202092,0.0,0.0,7800.77202092,0.07375,-0.0368749983609,0.0,0.0,0.0
6,0.07775,-7682.34429304,0.0,0.0,7682.34429304,0.07775,-0.0388749986887,0.0,0.0,0.0
7,0.08175,-7565.41864449,0.0,0.0,7565.41864449,0.08175,-0.0408749990165,0.0,0.0,0.0
8,0.08775,-7400.58405621,0.0,0.0,7400.58405621,0.08775,-0.0438750013709,0.0,0.0,0.0
9,0.09375,-7259.84098472,0.0,0.0,7259.84098472,0.09375,-0.046875,0.0,0.0,0.0
10,0.10275,-7083.61130315,0.0,0.0,7083.61130315,0.10275,-0.0513750016689,0.0,0.0,0.0
11,0.11175,-6947.65956256,0.0,0.0,6947.65956256,0.11175,-0.0558749996126,0.0,0.0,0.0
12,0.12075,-6839.91800919,0.0,0.0,6839.91800919,0.12075,-0.0603750012815,0.0,0.0,0.0
13,0.13425,-6707.96562755,0.0,0.0,6707.96562755,0.13425,-0.0671250000596,0.0,0.0,0.0
14,0.144375,-6628.00300949,0.0,0.0,6628.00300949,0.144375,-0.0721874982119,0.0,0.0,0.0
15,0.1545,-6554.94643853,0.0,0.0,6554.94643853,0.1545,-0.0772499963641,0.0,0.0,0.0
16,0.1696875,-6448.98462687,0.0,0.0,6448.98462687,0.1696875,-0.0848437473178,0.0,0.0,0.0
17,0.184875,-6350.37822650,0.0,0.0,6350.37822650,0.184875,-0.0924374982715,0.0,0.0,0.0
18,0.196265625,-6282.14845903,0.0,0.0,6282.14845903,0.196265625,-0.0981328114867,0.0,0.0,0.0
19,0.20765625,-6216.54355042,0.0,0.0,6216.54355042,0.20765625,-0.103828124702,0.0,0.0,0.0
20,0.219046875,-6153.84215422,0.0,0.0,6153.84215422,0.219046875,-0.109523437917,0.0,0.0,0.0
21,0.22758984375,-6109.18057115,0.0,0.0,6109.18057115,0.22758984375,-0.113794922829,0.0,0.0,0.0
22,0.2361328125,-6065.88306555,0.0,0.0,6065.88306555,0.2361328125,-0.11806640774,0.0,0.0,0.0
23,0.248947265625,-6002.21499621,0.0,0.0,6002.21499621,0.248947265625,-0.124473631382,0.0,0.0,0.0
24,0.26176171875,-5941.37445574,0.0,0.0,5941.37445574,0.26176171875,-0.130880862474,0.0,0.0,0.0
25,0.274576171875,-5882.81911189,0.0,0.0,5882.81911189,0.274576171875,-0.137288078666,0.0,0.0,0.0
26,0.287390625,-5826.18489001,0.0,0.0,5826.18489001,0.287390625,-0.143695309758,0.0,0.0,0.0
27,0.300205078125,-5771.21688956,0.0,0.0,5771.21688956,0.300205078125,-0.150102540851,0.0,0.0,0.0
28,0.31301953125,-5717.82623072,0.0,0.0,5717.82623072,0.31301953125,-0.156509771943,0.0,0.0,0.0
29,0.325833984375,-5666.05397706,0.0,0.0,5666.05397706,0.325833984375,-0.162916988134,0.0,0.0,0.0
30,0.3386484375,-5616.01759142,0.0,0.0,5616.01759142,0.3386484375,-0.169324219227,0.0,0.0,0.0
31,0.351462890625,-5567.78398682,0.0,0.0,5567.78398682,0.351462890625,-0.175731450319,0.0,0.0,0.0
32,0.36427734375,-5521.42292064,0.0,0.0,5521.42292064,0.36427734375,-0.182138666511,0.0,0.0,0.0
33,0.377091796875,-5476.92124763,0.0,0.0,5476.92124763,0.377091796875,-0.188545897603,0.0,0.0,0.0
34,0.38990625,-5434.27005251,0.0,0.0,5434.27005251,0.38990625,-0.194953128695,0.0,0.0,0.0
35,0.402720703125,-5393.42150279,0.0,0.0,5393.42150279,0.402720703125,-0.201360344887,0.0,0.0,0.0
36,0.412331542969,-5364.34470020,0.0,0.0,5364.34470020,0.412331542969,-0.206165775657,0.0,0.0,0.0
37,0.421942382813,-5336.14334116,0.0,0.0,5336.14334116,0.421942382813,-0.210971191525,0.0,0.0,0.0
38,0.436358642578,-5294.68777113,0.0,0.0,5294.68777113,0.436358642578,-0.218179315329,0.0,0.0,0.0
39,0.450774902344,-5255.31281812,0.0,0.0,5255.31281812,0.450774902344,-0.225387454033,0.0,0.0,0.0
40,0.465191162109,-5217.85501805,0.0,0.0,5217.85501805,0.465191162109,-0.232595577836,0.0,0.0,0.0
41,0.476003356934,-5191.36384333,0.0,0.0,5191.36384333,0.476003356934,-0.238001674414,0.0,0.0,0.0
42,0.486815551758,-5165.78541401,0.0,0.0,5165.78541401,0.486815551758,-0.243407770991,0.0,0.0,0.0
43,0.503033843994,-5128.30944102,0.0,0.0,5128.30944102,0.503033843994,-0.251516908407,0.0,0.0,0.0
44,0.515197563171,-5102.04614784,0.0,0.0,5102.04614784,0.515197563171,-0.257598787546,0.0,0.0,0.0
45,0.524320352554,-5083.18715128,0.0,0.0,5083.18715128,0.524320352554,-0.262160181999,0.0,0.0,0.0
46,0.533443141937,-5064.81650555,0.0,0.0,5064.81650555,0.533443141937,-0.266721576452,0.0,0.0,0.0
47,0.547127326012,-5037.73676871,0.0,0.0,5037.73676871,0.547127326012,-0.273563653231,0.0,0.0,0.0
48,0.560811510086,-5011.80947019,0.0,0.0,5011.80947019,0.560811510086,-0.280405759811,0.0,0.0,0.0
49,0.57449569416,-4986.94024252,0.0,0.0,4986.94024252,0.57449569416,-0.28724783659,0.0,0.0,0.0
50,0.584758832216,-4969.15157939,0.0,0.0,4969.15157939,0.584758832216,-0.292379409075,0.0,0.0,0.0
51,0.595021970272,-4951.84718370,0.0,0.0,4951.84718370,0.595021970272,-0.29751098156,0.0,0.0,0.0
52,0.610416677356,-4926.33505038,0.0,0.0,4926.33505038,0.610416677356,-0.305208325386,0.0,0.0,0.0
53,0.625811384439,-4901.91317181,0.0,0.0,4901.91317181,0.625811384439,-0.312905699015,0.0,0.0,0.0
54,0.641206091523,-4878.48978890,0.0,0.0,4878.48978890,0.641206091523,-0.320603042841,0.0,0.0,0.0
55,0.656600798607,-4856.00808215,0.0,0.0,4856.00808215,0.656600798607,-0.328300386667,0.0,0.0,0.0
56,0.679692859232,-4823.13787887,0.0,0.0,4823.13787887,0.679692859232,-0.339846432209,0.0,0.0,0.0
57,0.697011904702,-4800.28549393,0.0,0.0,4800.28549393,0.697011904702,-0.348505944014,0.0,0.0,0.0
58,0.710001188803,-4784.07833944,0.0,0.0,4784.07833944,0.710001188803,-0.355000585318,0.0,0.0,0.0
59,0.722990472905,-4768.44008386,0.0,0.0,4768.44008386,0.722990472905,-0.361495226622,0.0,0.0,0.0
60,0.742474399058,-4745.61599361,0.0,0.0,4745.61599361,0.742474399058,-0.371237188578,0.0,0.0,0.0
61,0.761958325211,-4724.35121838,0.0,0.0,4724.35121838,0.761958325211,-0.380979150534,0.0,0.0,0.0
62,0.776571269826,-4709.76227591,0.0,0.0,4709.76227591,0.776571269826,-0.388285636902,0.0,0.0,0.0
63,0.79118421444,-4696.10225456,0.0,0.0,4696.10225456,0.79118421444,-0.395592093468,0.0,0.0,0.0
64,0.813103631362,-4676.89785130,0.0,0.0,4676.89785130,0.813103631362,-0.406551808119,0.0,0.0,0.0
65,0.829543194054,-4664.54925059,0.0,0.0,4664.54925059,0.829543194054,-0.414771586657,0.0,0.0,0.0
66,0.845982756745,-4653.72754093,0.0,0.0,4653.72754093,0.845982756745,-0.422991365194,0.0,0.0,0.0
67,0.862422319436,-4644.59358233,0.0,0.0,4644.59358233,0.862422319436,-0.431211173534,0.0,0.0,0.0
68,0.887081663474,-4633.63858670,0.0,0.0,4633.63858670,0.887081663474,-0.443540841341,0.0,0.0,0.0
69,0.905576171501,-4629.13056058,0.0,0.0,4629.13056058,0.905576171501,-0.452788084745,0.0,0.0,0.0
70,0.924070679529,-4627.59561032,0.0,0.0,4627.59561032,0.924070679529,-0.46203532815,0.0,0.0,0.0
71,0.951812441571,-4630.50994416,0.0,0.0,4630.50994416,0.951812441571,-0.475906223059,0.0,0.0,0.0
72,0.979554203613,-4642.27218923,0.0,0.0,4642.27218923,0.979554203613,-0.489777088165,0.0,0.0,0.0
73,1.0,-4658.06785237,0.0,0.0,4658.06785237,1.0,-0.5,0.0,0.0,0.0
