Punto,Time_F,ForceX,ForceY,ForceZ,ForceTotal,Time_D,DispX,DispY,DispZ,DispTotal
0,0.02,-5396.33358882,0.0,0.0,5396.33358882,0.02,-0.00999999977648,0.0,0.0,0.0
1,0.04,-9742.82475348,0.0,0.0,9742.82475348,0.04,-0.019999999553,0.0,0.0,0.0
2,0.06,-11363.5476247,0.0,0.0,11363.5476247,0.06,-0.0299999993294,0.0,0.0,0.0
3,0.09,-12006.7790808,0.0,0.0,12006.7790808,0.09,-0.0450000017881,0.0,0.0,0.0
4,0.12,-12323.4736939,0.0,0.0,12323.4736939,0.12,-0.0599999986589,0.0,0.0,0.0
5,0.14025,-12478.7497333,0.0,0.0,12478.7497333,0.14025,-0.0701249986887,0.0,0.0,0.0
6,0.1605,-12603.3275005,0.0,0.0,12603.3275005,0.1605,-0.0802500024438,0.0,0.0,0.0
7,0.17416875,-12654.6813797,0.0,0.0,12654.6813797,0.17416875,-0.0870843753219,0.0,0.0,0.0
8,0.1878375,-12556.4580094,0.0,0.0,12556.4580094,0.1878375,-0.0939187481999,0.0,0.0,0.0
9,0.19706390625,-12458.4659455,0.0,0.0,12458.4659455,0.19706390625,-0.0985319539905,0.0,0.0,0.0
10,0.203983710938,-12390.0437239,0.0,0.0,12390.0437239,0.203983710938,-0.101991854608,0.0,0.0,0.0
11,0.210903515625,-12326.4604456,0.0,0.0,12326.4604456,0.210903515625,-0.105451755226,0.0,0.0,0.0
12,0.221283222656,-12236.6360922,0.0,0.0,12236.6360922,0.221283222656,-0.110641613603,0.0,0.0,0.0
13,0.231662929688,-12157.0363753,0.0,0.0,12157.0363753,0.231662929688,-0.115831464529,0.0,0.0,0.0
14,0.247232490234,-12043.3733722,0.0,0.0,12043.3733722,0.247232490234,-0.123616248369,0.0,0.0,0.0
15,0.258909660645,-11965.5966612,0.0,0.0,11965.5966612,0.258909660645,-0.129454836249,0.0,0.0,0.0
16,0.270586831055,-11889.0145433,0.0,0.0,11889.0145433,0.270586831055,-0.135293409228,0.0,0.0,0.0
17,0.28810258667,-11769.8823251,0.0,0.0,11769.8823251,0.28810258667,-0.144051298499,0.0,0.0,0.0
18,0.301239403381,-11685.5694464,0.0,0.0,11685.5694464,0.301239403381,-0.150619700551,0.0,0.0,0.0
19,0.314376220093,-11603.6104454,0.0,0.0,11603.6104454,0.314376220093,-0.157188102603,0.0,0.0,0.0
20,0.327513036804,-11524.4866109,0.0,0.0,11524.4866109,0.327513036804,-0.163756519556,0.0,0.0,0.0
21,0.340649853516,-11448.5834457,0.0,0.0,11448.5834457,0.340649853516,-0.170324921608,0.0,0.0,0.0
22,0.353786670227,-11376.7201644,0.0,0.0,11376.7201644,0.353786670227,-0.176893338561,0.0,0.0,0.0
23,0.366923486938,-11309.1192745,0.0,0.0,11309.1192745,0.366923486938,-0.183461740613,0.0,0.0,0.0
24,0.386628712006,-11212.4348503,0.0,0.0,11212.4348503,0.386628712006,-0.193314358592,0.0,0.0,0.0
25,0.401407630806,-11147.9941648,0.0,0.0,11147.9941648,0.401407630806,-0.200703814626,0.0,0.0,0.0
26,0.416186549606,-11088.1122346,0.0,0.0,11088.1122346,0.416186549606,-0.208093270659,0.0,0.0,0.0
27,0.438354927807,-11002.7795071,0.0,0.0,11002.7795071,0.438354927807,-0.219177469611,0.0,0.0,0.0
28,0.454981211457,-10945.9125999,0.0,0.0,10945.9125999,0.454981211457,-0.227490603924,0.0,0.0,0.0
29,0.471607495108,-10892.5712095,0.0,0.0,10892.5712095,0.471607495108,-0.235803753138,0.0,0.0,0.0
30,0.496546920583,-10814.7777464,0.0,0.0,10814.7777464,0.496546920583,-0.248273462057,0.0,0.0,0.0
31,0.51525148969,-10761.7952270,0.0,0.0,10761.7952270,0.51525148969,-0.257625758648,0.0,0.0,0.0
32,0.533956058797,-10710.9709378,0.0,0.0,10710.9709378,0.533956058797,-0.266978025436,0.0,0.0,0.0
33,0.562012912457,-10634.1753462,0.0,0.0,10634.1753462,0.562012912457,-0.281006455421,0.0,0.0,0.0
34,0.583055552702,-10580.6513875,0.0,0.0,10580.6513875,0.583055552702,-0.29152777791,0.0,0.0,0.0
35,0.604098192947,-10528.4014869,0.0,0.0,10528.4014869,0.604098192947,-0.302049100399,0.0,0.0,0.0
36,0.625140833192,-10477.5378441,0.0,0.0,10477.5378441,0.625140833192,-0.312570422888,0.0,0.0,0.0
37,0.646183473437,-10428.1513976,0.0,0.0,10428.1513976,0.646183473437,-0.323091745377,0.0,0.0,0.0
38,0.677747433804,-10353.7173093,0.0,0.0,10353.7173093,0.677747433804,-0.338873714209,0.0,0.0,0.0
39,0.70142040408,-10303.5025748,0.0,0.0,10303.5025748,0.70142040408,-0.350710213184,0.0,0.0,0.0
40,0.725093374356,-10256.5978965,0.0,0.0,10256.5978965,0.725093374356,-0.362546682358,0.0,0.0,0.0
41,0.748766344631,-10213.6329451,0.0,0.0,10213.6329451,0.748766344631,-0.374383181334,0.0,0.0,0.0
42,0.772439314907,-10175.2108761,0.0,0.0,10175.2108761,0.772439314907,-0.386219650507,0.0,0.0,0.0
43,0.796112285183,-10141.7549007,0.0,0.0,10141.7549007,0.796112285183,-0.398056149483,0.0,0.0,0.0
44,0.831621740596,-10097.9558035,0.0,0.0,10097.9558035,0.831621740596,-0.415810883045,0.0,0.0,0.0
45,0.858253832156,-10075.7643884,0.0,0.0,10075.7643884,0.858253832156,-0.429126918316,0.0,0.0,0.0
46,0.884885923716,-10060.7421615,0.0,0.0,10060.7421615,0.884885923716,-0.442442953587,0.0,0.0,0.0
47,0.911518015277,-10052.5096823,0.0,0.0,10052.5096823,0.911518015277,-0.45575901866,0.0,0.0,0.0
48,0.951466152617,-10049.3659210,0.0,0.0,10049.3659210,0.951466152617,-0.475733071566,0.0,0.0,0.0
49,0.981427255622,-10060.1263907,0.0,0.0,10060.1263907,0.981427255622,-0.490713626146,0.0,0.0,0.0
50,1.0,-10072.8831890,0.0,0.0,10072.8831890,1.0,-0.5,0.0,0.0,0.0
