m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,mass_kg,energy_per_mass,sim_time_s,y_max_stress_mm,valid_ansys,pivot_height_mm,lever_arm_mm,modo_fallo
3,70,70,1000,3,70,70,1000,80,3,3622.19937365,1286893951.1,8740.04078536,12.9600264846,279.490121255,1317.9319259,163.793103448,1,163.793103448,836.206896552,Viga
2.5,85,55,1000,2.5,85,55,1000,80,3.5,3163.66061887,1219697869.57,8925.41038153,10.9443042776,289.069139402,1585.8262166,176.724137931,1,176.724137931,823.275862069,Viga
3.5,55,85,1000,3.5,55,85,1000,80,2.5,3646.06345307,1296489106.7,8445.42648582,14.9310267999,244.193751839,821.3612422,150.862068966,1,150.862068966,849.137931034,Viga
2.25,77.5,77.5,1000,3.75,92.5,77.5,1000,80,2.25,2450.39563916,1093611776.48,8359.34925159,15.1515069917,161.726199282,965.8491665,175,1,175,825,Viga
3.25,47.5,47.5,1000,2.75,62.5,47.5,1000,80,3.25,2282.14836979,798710814.508,5162.65067842,9.32788446934,244.658730208,694.9922758,170.886075949,1,170.886075949,829.113924051,Viga
2.75,62.5,92.5,1000,3.25,47.5,92.5,1000,80,3.75,2886.45064143,1366909038.31,7678.71870906,13.7629687469,209.72587343,935.7382825,136.363636364,1,136.363636364,863.636363636,Viga
3.75,92.5,62.5,1000,2.25,77.5,62.5,1000,80,2.75,6265.41643219,1144961844.13,14291.9272894,13.7614066764,455.288952614,818.2598244,77.5,1,0,1000,Cartela
2.125,96.25,51.25,1000,3.375,58.75,51.25,1000,80,2.125,1591.75918574,1052590656.7,6641.3468651,10.4536199849,152.268705772,1456.5774887,138.75,1,0,1000,Cartela
3.125,66.25,81.25,1000,2.375,88.75,81.25,1000,80,3.125,3854.77537537,1346681494.28,9627.97781231,13.4743382719,286.082722399,821.3547518,181.37254902,1,181.37254902,818.62745098,Viga
2.625,51.25,66.25,1000,3.875,73.75,66.25,1000,80,3.625,2006.28867544,1414400051.28,4964.82663428,13.0672715378,153.53539334,860.4624613,170.634920635,1,170.634920635,829.365079365,Viga
3.625,81.25,96.25,1000,2.875,43.75,96.25,1000,80,2.625,5051.2391032,1063774917.98,10772.756973,16.1053331143,313.637666936,809.3908617,123.75,1,0,1000,Cartela
2.375,58.75,73.75,1000,2.625,81.25,73.75,1000,80,2.375,1984.29941142,1190566120.91,5728.01107248,11.2099308402,177.012636358,1050.0992916,187.5,1,187.5,812.5,Viga
3.375,88.75,43.75,1000,3.625,51.25,43.75,1000,80,3.375,4231.66307445,1338471444.48,10750.660002,11.957947372,353.878717041,830.4202405,131.25,1,0,1000,Cartela
2.875,73.75,88.75,1000,2.125,66.25,88.75,1000,80,3.875,3596.55090693,1339235928.44,9866.25263853,12.6048121225,285.331575908,854.5563452,171.568627451,1,171.568627451,828.431372549,Viga
3.875,43.75,58.75,1000,3.125,96.25,58.75,1000,80,2.875,2816.95041253,739638101.029,6382.53449152,13.356850052,210.899306465,860.4467481,210.317460317,1,210.317460317,789.682539683,Viga
2.0625,71.875,68.125,1000,2.8125,53.125,68.125,1000,80,2.5625,1765.98241077,1285805533.77,6063.86268871,9.78914920381,180.402032291,1197.7929097,149.193548387,1,149.193548387,850.806451613,Viga
3.0625,41.875,98.125,1000,3.8125,83.125,98.125,1000,80,3.5625,2268.75098298,1180346390.95,5963.39655253,17.3188612743,130.9988542,704.235056,185,1,185,815,Viga
2.5625,56.875,53.125,1000,2.3125,98.125,53.125,1000,80,3.0625,2162.8713321,1241968617.99,5050.15283755,9.84101020617,219.781433693,1321.2706659,193.548387097,1,193.548387097,806.451612903,Viga
3.5625,86.875,83.125,1000,3.3125,68.125,83.125,1000,80,2.0625,5295.08410234,932754557.882,11945.2928019,16.8870913097,313.558090332,791.3912218,148.125,1,0,1000,Cartela
2.3125,49.375,90.625,1000,3.0625,90.625,90.625,1000,80,2.8125,1644.57557264,1200073951.31,5405.41384396,13.7028555826,120.016996656,854.5941432,220,1,220,780,Viga
3.3125,79.375,60.625,1000,2.0625,60.625,60.625,1000,80,3.8125,5250.91407357,1157822169.77,11584.6317711,11.1258025873,471.958227945,2173.4033242,173.387096774,1,173.387096774,826.612903226,Viga
2.8125,94.375,75.625,1000,3.5625,45.625,75.625,1000,80,3.3125,2643.48609607,979976080.3,9161.74964027,14.0302400308,188.413461941,926.7435099,125.625,1,0,1000,Cartela
3.8125,64.375,45.625,1000,2.5625,75.625,45.625,1000,80,2.3125,4350.70585863,721779356.731,10509.8156431,11.0095217438,395.17664435,977.9657989,192.857142857,1,192.857142857,807.142857143,Viga
2.1875,68.125,56.875,1000,3.6875,64.375,56.875,1000,80,2.6875,1925.64179576,1191669112.15,5538.79536839,11.0061370897,174.96073146,993.1164936,157.692307692,1,157.692307692,842.307692308,Viga
3.1875,98.125,86.875,1000,2.6875,94.375,86.875,1000,80,3.6875,6027.07064309,1070709154.14,17121.8981454,16.8296632143,358.121880773,881.6453485,174.375,1,0,1000,Cartela
2.6875,83.125,41.875,1000,3.1875,79.375,41.875,1000,80,3.1875,3602.75391038,1405311801.81,8414.2206916,11.0748871462,325.308408368,1399.4354802,200,1,200,800,Viga
3.6875,53.125,71.875,1000,2.1875,49.375,71.875,1000,80,2.1875,3549.83575001,1050902025.99,7613.77798165,11.0732151415,320.578594804,915.0383132,153.846153846,1,153.846153846,846.153846154,Viga
2.4375,90.625,94.375,1000,2.4375,71.875,94.375,1000,80,2.9375,2854.9184062,932984107.005,9766.40020983,13.4625702755,212.063398576,788.4332738,151.875,1,0,1000,Cartela
3.4375,60.625,64.375,1000,3.4375,41.875,64.375,1000,80,3.9375,3692.40959945,1154356155.84,7910.91680623,12.1611422802,303.623583571,656.1417861,150,1,150,850,Viga
2.9375,45.625,79.375,1000,2.9375,56.875,79.375,1000,80,3.4375,2156.55001563,1192148678.74,5291.42470335,11.9216547238,180.893513996,869.5794452,161.290322581,1,161.290322581,838.709677419,Viga
3.9375,75.625,49.375,1000,3.9375,86.875,49.375,1000,80,2.4375,6041.78033357,1000346614.65,13791.2102292,15.4058504909,392.174410438,1092.3704991,205.64516129,1,205.64516129,794.35483871,Viga
2.03125,87.8125,87.8125,1000,3.90625,80.3125,87.8125,1000,80,3.84375,2216.03128429,1169766351.48,9034.20157521,15.7955341858,140.294798405,911.6847697,175.531914894,1,175.531914894,824.468085106,Viga
3.03125,57.8125,57.8125,1000,2.90625,50.3125,57.8125,1000,80,2.84375,2797.39258716,1224529660.66,6051.30184873,10.1712052195,275.030591438,743.1493783,159.722222222,1,159.722222222,840.277777778,Viga
2.53125,42.8125,72.8125,1000,3.40625,65.3125,72.8125,1000,80,2.34375,1544.81243518,1221798776.15,3996.7958986,11.6853068739,132.201272234,1001.9307853,167.96875,1,167.96875,832.03125,Viga
3.53125,72.8125,42.8125,1000,2.40625,95.3125,42.8125,1000,80,3.34375,4857.22183536,1007932911.17,11153.8465914,11.3500220735,427.948228111,1065.089292,210.9375,1,210.9375,789.0625,Viga
2.28125,65.3125,65.3125,1000,2.15625,57.8125,65.3125,1000,80,3.59375,1963.80305833,1258068342.41,5843.9399608,8.9260099102,220.009060945,1047.1245011,179.6875,1,179.6875,820.3125,Viga
3.28125,95.3125,95.3125,1000,3.15625,87.8125,95.3125,1000,80,2.59375,5581.6981433,1136581926.28,14807.2188878,18.5933098989,300.19927456,969.0153029,167.8125,1,0,1000,Cartela
2.78125,80.3125,50.3125,1000,2.65625,72.8125,50.3125,1000,80,2.09375,3623.74074381,1334084704.3,8664.4962053,10.5726510677,342.746650826,1414.6734568,195.3125,1,195.3125,804.6875,Viga
3.78125,50.3125,80.3125,1000,3.65625,42.8125,80.3125,1000,80,3.09375,3534.64846166,1061580118.35,7695.73083278,14.3296117304,246.667427434,875.6221022,148.4375,1,148.4375,851.5625,Viga
2.15625,54.0625,99.0625,1000,2.53125,99.0625,99.0625,1000,80,3.96875,1748.84971099,1146466996.76,5923.13979095,13.2584990756,131.904048944,616.9878436,233.695652174,1,233.695652174,766.304347826,Viga
3.15625,84.0625,69.0625,1000,3.53125,69.0625,69.0625,1000,80,2.96875,4924.45090749,1183837342.29,12441.0028105,14.8722448976,331.116851652,948.0932412,149.0625,1,0,1000,Cartela
2.65625,99.0625,84.0625,1000,2.03125,54.0625,84.0625,1000,80,2.46875,2662.22837316,967296213.669,8192.20747872,11.998784799,221.874832973,872.8322756,134.0625,1,0,1000,Cartela
3.65625,69.0625,54.0625,1000,3.03125,84.0625,54.0625,1000,80,3.46875,4871.37350441,1184416657.38,10455.6729821,13.2735768245,366.997800881,1146.7328676,201.612903226,1,201.612903226,798.387096774,Viga
2.40625,76.5625,61.5625,1000,3.28125,46.5625,61.5625,1000,80,3.71875,2587.16989916,1297083072.75,7231.91420366,10.6583353896,242.736769355,1480.9131689,126.923076923,1,126.923076923,873.076923077,Viga
3.40625,46.5625,91.5625,1000,2.28125,76.5625,91.5625,1000,80,2.71875,2961.61718246,1145145527.53,7028.18373702,13.2378996441,223.722589088,839.8026841,179.245283019,1,179.245283019,820.754716981,Viga
2.90625,61.5625,46.5625,1000,3.78125,91.5625,46.5625,1000,80,2.21875,2887.66932115,1319007785.73,6137.27641179,12.62230702,228.775081812,966.0878816,203.846153846,1,203.846153846,796.153846154,Viga
3.90625,91.5625,76.5625,1000,2.78125,61.5625,76.5625,1000,80,3.21875,6524.35156396,1176674713.72,14314.8649925,16.0004518027,407.760458542,761.5012542,141.5625,1,0,1000,Cartela
2.09375,55.9375,82.1875,1000,3.21875,74.6875,82.1875,1000,80,3.28125,1510.15666145,1220262834.11,5008.11946172,12.4096083679,121.692531841,938.8937586,172.727272727,1,172.727272727,827.272727273,Viga
3.09375,85.9375,52.1875,1000,2.21875,44.6875,52.1875,1000,80,2.28125,3436.48205037,1082018602.73,7866.82311408,9.84896110373,348.918227433,851.6854447,124.6875,1,0,1000,Cartela
2.59375,70.9375,97.1875,1000,3.71875,59.6875,97.1875,1000,80,2.78125,2936.81085697,1152049474.03,8769.02718951,15.7399569407,186.583156996,945.1038292,150,1,150,850,Viga
3.59375,40.9375,67.1875,1000,2.71875,89.6875,67.1875,1000,80,3.78125,2468.60433502,885703809.097,5372.01370254,12.5748816235,196.312331912,812.6420152,192.62295082,1,192.62295082,807.37704918,Viga
2.34375,93.4375,44.6875,1000,2.96875,67.1875,44.6875,1000,80,3.03125,3001.51902482,1251857974.12,8480.56795351,10.1205334059,296.577156998,1643.7484995,164.0625,1,164.0625,835.9375,Viga
3.34375,63.4375,74.6875,1000,3.96875,97.1875,74.6875,1000,80,2.03125,4086.84552205,1337026025.2,9285.70963142,17.3519024431,235.527230253,932.9349915,192.307692308,1,192.307692308,807.692307692,Viga
2.84375,48.4375,59.6875,1000,2.46875,82.1875,59.6875,1000,80,2.53125,2109.85850597,1257871376.36,4665.47637485,10.1426522104,208.01842183,899.8374878,183.59375,1,183.59375,816.40625,Viga
3.84375,78.4375,89.6875,1000,3.46875,52.1875,89.6875,1000,80,3.53125,6476.51133703,1284284865.99,13627.2032773,17.4894150863,370.310345146,689.2947034,132.1875,1,0,1000,Cartela
2.21875,82.1875,70.9375,1000,2.34375,85.9375,70.9375,1000,80,3.40625,2418.74853767,1119826755.36,8014.15913116,11.1654125853,216.628675312,929.95,173.076923077,1,173.076923077,826.923076923,Viga
3.21875,52.1875,40.9375,1000,3.34375,55.9375,40.9375,1000,80,2.40625,2436.16034521,667820200.117,5843.97730667,9.32376038699,261.285172945,770.6078651,170.588235294,1,170.588235294,829.411764706,Viga
2.71875,67.1875,85.9375,1000,2.84375,40.9375,85.9375,1000,80,2.90625,3089.56864256,1112467244,7498.40620703,12.0826125039,255.703693349,975.2411843,120.9375,1,0,1000,Cartela
3.71875,97.1875,55.9375,1000,3.84375,70.9375,55.9375,1000,80,3.90625,6325.90350589,1381488370.99,15915.676184,16.088968615,393.182661816,1056.3610798,150.9375,1,0,1000,Cartela
2.46875,44.6875,48.4375,1000,3.59375,48.4375,48.4375,1000,80,3.15625,1427.28599188,1163892827.65,3112.92693855,8.77290223156,162.692567888,602.0597186,152.941176471,1,152.941176471,847.058823529,Viga
3.46875,74.6875,78.4375,1000,2.59375,78.4375,78.4375,1000,80,2.15625,5365.34291502,1356635669.37,12654.6813797,14.3970371488,372.669936153,1342.7673303,187.5,1,187.5,812.5,Viga
2.96875,89.6875,63.4375,1000,3.09375,93.4375,63.4375,1000,80,2.65625,4811.48700815,1266912878.36,12660.4577556,14.4628152361,332.679836506,1276.4254912,192.307692308,1,192.307692308,807.692307692,Viga
3.96875,59.6875,93.4375,1000,2.09375,63.4375,93.4375,1000,80,3.65625,5032.83954013,1237104884.11,11111.1513171,14.5529857379,345.828658859,794.4912161,163.461538462,1,163.461538462,836.538461538,Viga
2.015625,79.84375,98.59375,1000,3.046875,62.96875,98.59375,1000,80,2.390625,2016.32120618,933525070.833,7048.67701663,13.285566991,151.767794897,924.1301158,142.9688,1,0,1000,Cartela
3.015625,49.84375,68.59375,1000,2.046875,92.96875,68.59375,1000,80,3.390625,2554.09667427,1211451139.59,5786.02436555,10.7592402474,237.386341001,782.4958949,198.275862069,1,198.275862069,801.724137931,Viga
2.515625,64.84375,83.59375,1000,3.546875,77.96875,83.59375,1000,80,3.890625,2521.32461555,1234723288.15,7576.83705824,14.7499339021,170.938028081,954.0974396,201.923076923,1,201.923076923,798.076923077,Viga
3.515625,94.84375,53.59375,1000,2.546875,47.96875,53.59375,1000,80,2.890625,4879.93750668,1103649174.94,10540.8890274,11.9451588844,408.528471985,1047.4396899,127.9688,1,0,1000,Cartela
2.265625,42.34375,61.09375,1000,2.796875,70.46875,61.09375,1000,80,2.140625,1242.04434997,1220402417.53,3057.59390029,9.27324084006,133.938541163,842.8434912,166.666666667,1,166.666666667,833.333333333,Viga
3.265625,72.34375,91.09375,1000,3.796875,40.46875,91.09375,1000,80,3.140625,4238.9219277,1206846514.98,9604.11482573,15.8463906459,267.5007844,758.4487934,120.4688,1,0,1000,Cartela
2.765625,87.34375,46.09375,1000,2.296875,55.46875,46.09375,1000,80,3.640625,2989.86230652,944320838.861,9259.96822523,9.38244892999,318.665449588,1430.1259586,135.4688,1,0,1000,Cartela
3.765625,57.34375,76.09375,1000,3.296875,85.46875,76.09375,1000,80,2.640625,4300.11164454,1174509539.52,9166.12005045,15.7760853371,272.571525359,921.1375502,190.909090909,1,190.909090909,809.090909091,Viga
3.140625,91.09375,57.34375,1000,3.421875,81.71875,57.34375,1000,80,3.265625,5352.06478122,1458782667.01,12909.208561,14.4430415944,370.563551052,1128.8102617,187.5,1,187.5,812.5,Viga
2.640625,76.09375,72.34375,1000,2.921875,96.71875,72.34375,1000,80,3.765625,3233.37493164,1174593474.98,8784.25924595,13.8534916032,233.397833863,966.355529,196.078431373,1,196.078431373,803.921568627,Viga
3.640625,46.09375,42.34375,1000,3.921875,66.71875,42.34375,1000,80,2.765625,2335.12541664,560065056.816,5742.15538764,11.1140682774,210.105369012,734.3615169,176.829268293,1,176.829268293,823.170731707,Viga
2.390625,98.59375,64.84375,1000,3.671875,89.21875,64.84375,1000,80,2.015625,2919.84761961,963502424.296,10147.8152255,14.6302668839,199.57582748,1794.5555693,169.2188,1,0,1000,Cartela
3.390625,68.59375,94.84375,1000,2.671875,59.21875,94.84375,1000,80,3.015625,4957.83192842,1262984793.84,11638.466251,14.9832964898,330.890597526,1201.2146071,142.156862745,1,142.156862745,857.843137255,Viga
2.890625,53.59375,49.84375,1000,3.171875,44.21875,49.84375,1000,80,3.515625,2281.75673624,1146035743.17,4845.73429621,9.13242821971,249.852140236,764.6969369,152.43902439,1,152.43902439,847.56097561,Viga
3.890625,83.59375,79.84375,1000,2.171875,74.21875,79.84375,1000,80,2.515625,6520.05732024,1140602953.39,14425.0588165,14.917873881,437.063442972,918.0932917,74.2188,1,0,1000,Cartela
2.078125,47.96875,70.46875,1000,3.859375,61.09375,70.46875,1000,80,2.953125,1188.273014,1273061565.01,3716.64195867,11.5657637874,102.740557031,936.2022594,183.59375,1,183.59375,816.40625,Viga
3.078125,77.96875,40.46875,1000,2.859375,91.09375,40.46875,1000,80,3.953125,4310.74752783,1351569180.89,9242.3867296,11.4162665685,377.596957987,1628.8761072,207.03125,1,207.03125,792.96875,Viga
2.578125,92.96875,85.46875,1000,3.359375,76.09375,85.46875,1000,80,3.453125,3294.38505344,933034724.776,11356.944701,15.6162273727,210.959086008,927.0607766,156.0938,1,0,1000,Cartela
3.578125,62.96875,55.46875,1000,2.359375,46.09375,55.46875,1000,80,2.453125,3980.13182936,983463104.982,8558.35479027,10.0827985739,394.74475268,888.1193286,164.383561644,1,164.383561644,835.616438356,Viga
2.328125,70.46875,47.96875,1000,2.109375,83.59375,47.96875,1000,80,2.703125,2248.60858841,1330834713.07,5713.11367371,8.62712391855,260.644058163,1068.6130865,183.59375,1,183.59375,816.40625,Viga
3.328125,40.46875,77.96875,1000,3.109375,53.59375,77.96875,1000,80,3.703125,2191.94151866,1022765548.59,4988.0198775,12.4021589974,176.73870486,782.7840333,156.25,1,156.25,843.75,Viga
2.828125,55.46875,62.96875,1000,2.609375,68.59375,62.96875,1000,80,3.203125,2461.11028727,1337940668.05,5631.69289888,10.5236805121,233.864025466,948.2335853,171.875,1,171.875,828.125,Viga
3.828125,85.46875,92.96875,1000,3.609375,98.59375,92.96875,1000,80,2.203125,8284.99739636,894281521.943,18939.9908554,21.0030683357,394.466049624,656.2468831,178.5938,1,0,1000,Cartela
2.203125,89.21875,81.71875,1000,2.734375,42.34375,81.71875,1000,80,2.828125,1557.87476492,845231835.545,6134.2268732,11.1986785887,139.11237407,945.5313562,122.3438,1,0,1000,Cartela
3.203125,59.21875,51.71875,1000,3.734375,72.34375,51.71875,1000,80,3.828125,3184.5226485,1096887489.49,6659.23898849,12.4608080616,255.563092919,894.0835828,181.15942029,1,181.15942029,818.84057971,Viga
2.703125,44.21875,96.71875,1000,2.234375,87.34375,96.71875,1000,80,3.328125,1977.09558216,1238890344.69,5405.84755711,12.505019747,158.104155145,641.1112645,185,1,185,815,Viga
3.703125,74.21875,66.71875,1000,3.234375,57.34375,66.71875,1000,80,2.328125,5289.56122032,1021821493.96,11298.4867985,13.9896752023,378.104648166,755.5150372,137.3438,1,0,1000,Cartela
2.453125,66.71875,44.21875,1000,3.484375,94.84375,44.21875,1000,80,2.578125,2392.58312132,1351023395.69,5596.68201231,11.5406308008,207.318227454,1117.2456318,210.9375,1,210.9375,789.0625,Viga
3.453125,96.71875,74.21875,1000,2.484375,64.84375,74.21875,1000,80,3.578125,5407.77069874,1225141857.94,13514.167288,14.5387001337,371.956959633,797.7697903,144.8438,1,0,1000,Cartela
2.953125,81.71875,59.21875,1000,3.984375,49.84375,59.21875,1000,80,3.078125,3297.98238275,1316819798.85,9369.2665586,12.9010146213,255.637442445,1201.2551557,129.8438,1,0,1000,Cartela
3.953125,51.71875,89.21875,1000,2.984375,79.84375,89.21875,1000,80,2.078125,4198.45197677,1075420903.58,9334.26345283,16.167257245,259.688573835,791.8280618,177.884615385,1,177.884615385,822.115384615,Viga
2.046875,63.90625,52.65625,1000,2.890625,88.28125,52.65625,1000,80,3.734375,1639.70299073,1209528579.04,4668.16200667,10.110300244,162.181433899,1406.2228461,194.444444444,1,194.444444444,805.555555556,Viga
3.046875,93.90625,82.65625,1000,3.890625,58.28125,82.65625,1000,80,2.734375,3729.40951862,1090792989.05,10602.0593244,16.6262013192,224.309176042,1134.8599875,138.2812,1,0,1000,Cartela
2.546875,78.90625,67.65625,1000,2.390625,43.28125,67.65625,1000,80,2.234375,2301.84247524,1156733372.64,6668.71491464,9.8876243893,232.800355739,1454.4489462,123.2812,1,0,1000,Cartela
3.546875,48.90625,97.65625,1000,3.390625,73.28125,97.65625,1000,80,3.234375,3404.06706054,1179864800,8326.28105871,16.9479453409,200.854262394,830.9657998,176.470588235,1,176.470588235,823.529411765,Viga
2.296875,86.40625,75.15625,1000,3.140625,50.78125,75.15625,1000,80,3.984375,1916.34728233,775360067.853,7577.21645874,12.0265627139,159.34289189,1038.7370085,130.7812,1,0,1000,Cartela
3.296875,56.40625,45.15625,1000,2.140625,80.78125,45.15625,1000,80,2.984375,3028.91271696,861263267.925,6898.02648788,9.27387588231,326.60699317,734.5284859,197.183098592,1,197.183098592,802.816901408,Viga
2.796875,41.40625,90.15625,1000,3.640625,95.78125,90.15625,1000,80,2.484375,1929.41538664,1234393318.35,5130.73040192,16.0667185757,120.087706619,846.1457292,196.078431373,1,196.078431373,803.921568627,Viga
3.796875,71.40625,60.15625,1000,2.640625,65.78125,60.15625,1000,80,3.484375,5361.37325127,1176572917.38,11260.6087686,12.7532427122,420.392944151,990.3570357,178.571428571,1,178.571428571,821.428571429,Viga
2.171875,75.15625,41.40625,1000,3.515625,77.03125,41.40625,1000,80,3.609375,2138.76238799,1226884012,5548.63024839,10.2896473311,207.855752405,1249.5929235,188.405797101,1,188.405797101,811.594202899,Viga
3.171875,45.15625,71.40625,1000,2.515625,47.03125,71.40625,1000,80,2.609375,2298.88957407,1094952020.4,5113.68537919,10.2643045522,223.969345646,800.9353677,144.927536232,1,144.927536232,855.072463768,Viga
2.671875,60.15625,56.40625,1000,3.015625,62.03125,56.40625,1000,80,2.109375,2409.5260615,1232530908.23,5610.36521388,10.1990010682,236.251182385,939.5067719,173.913043478,1,173.913043478,826.086956522,Viga
3.671875,90.15625,86.40625,1000,2.015625,92.03125,86.40625,1000,80,3.109375,7136.45431444,1399466758.21,17589.7206508,15.669154928,455.446024194,749.8326931,92.0312,1,0,1000,Cartela
2.421875,52.65625,78.90625,1000,2.265625,69.53125,78.90625,1000,80,3.859375,1921.38682208,1205021010.4,5370.03821785,10.4014163507,184.723575839,909.4862758,155.172413793,1,155.172413793,844.827586207,Viga
3.421875,82.65625,48.90625,1000,3.265625,99.53125,48.90625,1000,80,2.859375,5680.51378348,1350945345.08,12110.6297679,14.2437343191,398.80790081,1273.9495012,211.206896552,1,211.206896552,788.793103448,Viga
2.921875,97.65625,93.90625,1000,2.765625,84.53125,93.90625,1000,80,2.359375,4529.90762435,935362885.743,12130.6249417,16.3425083665,277.185577804,921.3744229,164.5312,1,0,1000,Cartela
3.921875,67.65625,63.90625,1000,3.765625,54.53125,63.90625,1000,80,3.359375,5221.93912743,1115887565.5,10960.4485061,14.534038649,359.290301447,993.7573217,167.96875,1,167.96875,832.03125,Viga
2.109375,95.78125,58.28125,1000,2.203125,97.65625,58.28125,1000,80,3.171875,2608.46069969,1158499384.09,9242.41786953,10.5272572311,247.781605639,1469.6514575,201.923076923,1,201.923076923,798.076923077,Viga
