Modelo,RMSE_CV_J,R2_CV,Tiempo_s
★ GPR Matern52,787.35,0.6158,0.4
GPR Matern32,790.98,0.6122,0.1
GPR Sq.Exp.,908.87,0.4881,0.1
GPR Exp.,943.86,0.4479,0.1
GPR Rat.Quad.,984.71,0.3991,0.1
GPR ARD Matern52,989.08,0.3937,0.4
GPR ARD Sq.Exp.,1196.31,0.113,0.4
Red [64 32]+ relu,1226.16,0.0682,0.4
SVM Lineal C=1.0,1284.57,-0.0227,0.1
Red [128 64 32] relu,1317.49,-0.0758,0.5
Red [64 32] relu,1324.35,-0.087,0.3
LSBoost x400 (lr=0.05),1339.52,-0.112,12.9
SVM RBF C=1.0,1348.73,-0.1274,0.2
Bag RF x200,1360.6,-0.1473,5.8
Arbol mod. splits=20,1382.94,-0.1853,0.1
LSBoost x200 (lr=0.10),1389.89,-0.1972,7.1
SVM Pol.d2 C=1.0,1401.2,-0.2168,0.1
Arbol prof. hoja=2,1496.45,-0.3879,0.1
Bag RF x400 (prof.),1505.33,-0.4044,9.7
