m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,weight,energy_per_weight
3.04974658813887,46.955696464098,57.0269061508405,1000,2.9296680985874,87.5448742626216,57.0269061508405,1000,80,2.7098916802995,1985.00043404,834986665.265,3817.93944814,222.497189748,8.92146294649
3.34898097690815,98.4743069261708,47.2342927558966,1000,2.03383427442074,45.6762992880004,47.2342927558966,1000,80,3.78323572440061,3168.69674625,1007819510.5,7666.70232413,205.905404474,15.3890897344
2.29880858966697,83.1142910435871,92.1327097477312,1000,3.68294718176946,66.8152146819462,92.1327097477312,1000,80,3.55420460625664,2633.04561532,980861001.178,6499.10310725,302.011264092,8.71836890997
3.46018465546866,62.5388501876501,96.8288011869627,1000,3.89005527834177,53.3249966193879,96.8288011869627,1000,80,2.21733252769967,4192.01349879,720130395.983,7681.07225758,339.017978754,12.3651657478
2.82181934949284,70.4244182608766,45.0061076230013,1000,3.01656126723404,58.3959358946249,45.0061076230013,1000,80,2.16952439620616,2850.64366067,1217939600.7,5264.4598928,189.744382173,15.0235997927
2.00814171495891,43.9000974040911,66.3881083515902,1000,3.54283219623593,93.2205627491576,66.3881083515902,1000,80,3.03483660450209,968.536527988,933730051.952,2197.30744692,238.686960671,4.05776890897
2.49055689400724,56.8204284974127,62.4221722927591,1000,3.24855995417786,78.5870580347668,62.4221722927591,1000,80,3.89233151294799,1804.8630531,1097655136.26,3599.75422738,230.333975801,7.83585246955
2.77227511143426,80.4934968521438,72.0755254091393,1000,2.4492541811443,73.1836561536508,72.0755254091393,1000,80,2.80077305667462,3289.51534618,1093104781.81,7131.28037425,237.729231689,13.8372354246
3.77014119888819,66.3037319431202,77.86471298116,1000,2.72391083060493,99.9285875829925,77.86471298116,1000,80,3.38436489424936,4711.73771953,1053639823.79,8834.9442599,311.20404131,15.1403487554
3.94849834917525,91.1602669065836,83.5110904430578,1000,2.28643567185496,49.9772641336067,83.5110904430578,1000,80,2.51146434604491,5236.1443655,801499448.018,9734.82020648,299.767207272,17.4673688064
