Punto,Time_F,ForceX,ForceY,ForceZ,ForceTotal,Time_D,DispX,DispY,DispZ,DispTotal
0,0.02,-10035.7491107,0.0,0.0,10035.7491107,0.02,-0.00999999977648,0.0,0.0,0.0
1,0.04,-12922.6480326,0.0,0.0,12922.6480326,0.04,-0.019999999553,0.0,0.0,0.0
2,0.06,-13417.5573816,0.0,0.0,13417.5573816,0.06,-0.0299999993294,0.0,0.0,0.0
3,0.08,-13724.2469480,0.0,0.0,13724.2469480,0.08,-0.0399999991059,0.0,0.0,0.0
4,0.1,-13971.4512330,0.0,0.0,13971.4512330,0.1,-0.0500000007451,0.0,0.0,0.0
5,0.115,-14134.5869222,0.0,0.0,14134.5869222,0.115,-0.0575000010431,0.0,0.0,0.0
6,0.13,-14284.1262703,0.0,0.0,14284.1262703,0.13,-0.0649999976158,0.0,0.0,0.0
7,0.145,-14422.4736296,0.0,0.0,14422.4736296,0.145,-0.0724999979138,0.0,0.0,0.0
8,0.1675,-14609.5596585,0.0,0.0,14609.5596585,0.1675,-0.0837500020862,0.0,0.0,0.0
9,0.184375,-14730.0916048,0.0,0.0,14730.0916048,0.184375,-0.0921875014901,0.0,0.0,0.0
10,0.20125,-14805.3126652,0.0,0.0,14805.3126652,0.20125,-0.100625000894,0.0,0.0,0.0
11,0.218125,-14807.5851010,0.0,0.0,14807.5851010,0.218125,-0.109062500298,0.0,0.0,0.0
12,0.222125,-14809.0761284,0.0,0.0,14809.0761284,0.222125,-0.111062496901,0.0,0.0,0.0
13,0.226125,-14808.6820158,0.0,0.0,14808.6820158,0.226125,-0.113062500954,0.0,0.0,0.0
14,0.232125,-14804.4798434,0.0,0.0,14804.4798434,0.232125,-0.116062499583,0.0,0.0,0.0
15,0.241125,-14789.8137773,0.0,0.0,14789.8137773,0.241125,-0.120562501252,0.0,0.0,0.0
16,0.254625,-14755.2220083,0.0,0.0,14755.2220083,0.254625,-0.127312496305,0.0,0.0,0.0
17,0.26475,-14726.9461906,0.0,0.0,14726.9461906,0.26475,-0.132375001907,0.0,0.0,0.0
18,0.274875,-14693.8979569,0.0,0.0,14693.8979569,0.274875,-0.137437492609,0.0,0.0,0.0
19,0.278875,-14681.6510740,0.0,0.0,14681.6510740,0.278875,-0.139437496662,0.0,0.0,0.0
20,0.282875,-14668.5926412,0.0,0.0,14668.5926412,0.282875,-0.141437500715,0.0,0.0,0.0
21,0.288875,-14647.2139551,0.0,0.0,14647.2139551,0.288875,-0.144437506795,0.0,0.0,0.0
22,0.297875,-14612.1368394,0.0,0.0,14612.1368394,0.297875,-0.148937493563,0.0,0.0,0.0
23,0.311375,-14554.8990456,0.0,0.0,14554.8990456,0.311375,-0.155687496066,0.0,0.0,0.0
24,0.3215,-14513.9947292,0.0,0.0,14513.9947292,0.3215,-0.160750001669,0.0,0.0,0.0
25,0.331625,-14473.9265925,0.0,0.0,14473.9265925,0.331625,-0.165812507272,0.0,0.0,0.0
26,0.335625,-14459.6116014,0.0,0.0,14459.6116014,0.335625,-0.167812496424,0.0,0.0,0.0
27,0.339625,-14445.2085884,0.0,0.0,14445.2085884,0.339625,-0.169812500477,0.0,0.0,0.0
28,0.345625,-14423.3539278,0.0,0.0,14423.3539278,0.345625,-0.172812506557,0.0,0.0,0.0
29,0.354625,-14390.4203430,0.0,0.0,14390.4203430,0.354625,-0.177312493324,0.0,0.0,0.0
30,0.368125,-14340.8479039,0.0,0.0,14340.8479039,0.368125,-0.184062495828,0.0,0.0,0.0
31,0.381625,-14294.5132144,0.0,0.0,14294.5132144,0.381625,-0.190812498331,0.0,0.0,0.0
32,0.3887125,-14272.6730732,0.0,0.0,14272.6730732,0.3887125,-0.194356247783,0.0,0.0,0.0
33,0.3958,-14251.3653586,0.0,0.0,14251.3653586,0.3958,-0.197899997234,0.0,0.0,0.0
34,0.40643125,-14219.1779642,0.0,0.0,14219.1779642,0.40643125,-0.203215628862,0.0,0.0,0.0
35,0.422378125,-14170.7507120,0.0,0.0,14170.7507120,0.422378125,-0.211189061403,0.0,0.0,0.0
