Punto,Time_F,ForceX,ForceY,ForceZ,ForceTotal,Time_D,DispX,DispY,DispZ,DispTotal
0,0.02,-2451.05183710,0.0,0.0,2451.05183710,0.02,-0.00999999977648,0.0,0.0,0.0
1,0.04,-4585.65756360,0.0,0.0,4585.65756360,0.04,-0.019999999553,0.0,0.0,0.0
2,0.06,-4964.65935529,0.0,0.0,4964.65935529,0.06,-0.0299999993294,0.0,0.0,0.0
3,0.09,-5109.52849209,0.0,0.0,5109.52849209,0.09,-0.0450000017881,0.0,0.0,0.0
4,0.1125,-5182.53499895,0.0,0.0,5182.53499895,0.1125,-0.0562499985099,0.0,0.0,0.0
5,0.135,-5242.40338369,0.0,0.0,5242.40338369,0.135,-0.0675000026822,0.0,0.0,0.0
6,0.16875,-5307.84002251,0.0,0.0,5307.84002251,0.16875,-0.0843750014901,0.0,0.0,0.0
7,0.1940625,-5318.84934153,0.0,0.0,5318.84934153,0.1940625,-0.097031250596,0.0,0.0,0.0
8,0.219375,-5291.44690338,0.0,0.0,5291.44690338,0.219375,-0.109687499702,0.0,0.0,0.0
9,0.2446875,-5262.26739083,0.0,0.0,5262.26739083,0.2446875,-0.122343748808,0.0,0.0,0.0
10,0.27,-5243.63497304,0.0,0.0,5243.63497304,0.27,-0.135000005364,0.0,0.0,0.0
11,0.30796875,-5230.75957785,0.0,0.0,5230.75957785,0.30796875,-0.153984367847,0.0,0.0,0.0
12,0.3364453125,-5235.06363736,0.0,0.0,5235.06363736,0.3364453125,-0.168222650886,0.0,0.0,0.0
13,0.364921875,-5245.88942297,0.0,0.0,5245.88942297,0.364921875,-0.182460933924,0.0,0.0,0.0
14,0.40763671875,-5268.28831404,0.0,0.0,5268.28831404,0.40763671875,-0.203818365932,0.0,0.0,0.0
15,0.439672851563,-5290.37316952,0.0,0.0,5290.37316952,0.439672851563,-0.219836428761,0.0,0.0,0.0
16,0.463699951172,-5308.83740056,0.0,0.0,5308.83740056,0.463699951172,-0.231849968433,0.0,0.0,0.0
17,0.487727050781,-5328.07147017,0.0,0.0,5328.07147017,0.487727050781,-0.243863523006,0.0,0.0,0.0
18,0.523767700195,-5357.11600457,0.0,0.0,5357.11600457,0.523767700195,-0.261883854866,0.0,0.0,0.0
19,0.550798187256,-5380.10984720,0.0,0.0,5380.10984720,0.550798187256,-0.27539908886,0.0,0.0,0.0
20,0.577828674316,-5403.35007003,0.0,0.0,5403.35007003,0.577828674316,-0.288914322853,0.0,0.0,0.0
21,0.618374404907,-5437.33848713,0.0,0.0,5437.33848713,0.618374404907,-0.309187203646,0.0,0.0,0.0
22,0.64878370285,-5463.58582042,0.0,0.0,5463.58582042,0.64878370285,-0.324391841888,0.0,0.0,0.0
23,0.679193000793,-5489.71956159,0.0,0.0,5489.71956159,0.679193000793,-0.339596509933,0.0,0.0,0.0
24,0.709602298737,-5515.68581522,0.0,0.0,5515.68581522,0.709602298737,-0.354801148176,0.0,0.0,0.0
25,0.74001159668,-5541.40287199,0.0,0.0,5541.40287199,0.74001159668,-0.370005786419,0.0,0.0,0.0
26,0.770420894623,-5566.86118331,0.0,0.0,5566.86118331,0.770420894623,-0.385210454464,0.0,0.0,0.0
27,0.800830192566,-5592.04668661,0.0,0.0,5592.04668661,0.800830192566,-0.400415092707,0.0,0.0,0.0
28,0.823637166023,-5611.15800158,0.0,0.0,5611.15800158,0.823637166023,-0.41181859374,0.0,0.0,0.0
29,0.846444139481,-5630.14043605,0.0,0.0,5630.14043605,0.846444139481,-0.423222064972,0.0,0.0,0.0
30,0.880654599667,-5657.47702703,0.0,0.0,5657.47702703,0.880654599667,-0.44032728672,0.0,0.0,0.0
31,0.906312444806,-5678.52073279,0.0,0.0,5678.52073279,0.906312444806,-0.453156232834,0.0,0.0,0.0
32,0.931970289946,-5699.68964762,0.0,0.0,5699.68964762,0.931970289946,-0.465985149145,0.0,0.0,0.0
33,0.970457057655,-5730.86758898,0.0,0.0,5730.86758898,0.970457057655,-0.485228538513,0.0,0.0,0.0
34,0.985228528827,-5744.17802140,0.0,0.0,5744.17802140,0.985228528827,-0.492614269257,0.0,0.0,0.0
35,1.0,-5757.72365497,0.0,0.0,5757.72365497,1.0,-0.5,0.0,0.0,0.0
